Time (seconds),RTT (ms)
1,46.4
2,37.5
3,35.7
4,40.4
5,33.7
6,57.6
7,41.9
8,63.9
9,46.0
10,60.2
11,45.2
12,34.9
13,39.6
14,48.3
15,53.8
16,52.7
17,44.2
18,42.7
19,48.0
20,55.3
21,45.6
22,44.0
23,41.2
24,42.9
25,45.5
26,49.6
27,35.1
28,41.9
29,32.1
30,33.8
31,35.4
32,30.4
33,31.8
34,45.3
35,34.2
36,31.4
37,38.3
38,32.1
39,34.5
40,38.6
41,41.1
42,33.2
43,32.0
44,50.6
45,45.6
46,31.7
47,37.5
48,33.5
49,33.9
50,36.7
51,56.3
52,33.7
53,32.7
54,35.4
55,29.7
56,27.4
57,29.0
58,31.6
59,35.7
60,39.5
61,29.7
62,27.1
63,36.2
64,31.9
65,31.6
66,33.3
67,32.4
68,30.7
69,36.0
70,44.2
71,32.3
72,34.8
73,30.2
74,36.7
75,39.1
76,34.8
77,34.6
78,35.8
79,38.6
80,32.6
81,34.2
82,35.6
83,44.3
84,37.3
85,36.0
86,33.9
87,45.2
88,39.5
89,36.7
90,27.0
91,38.9
92,40.4
93,33.0
94,31.9
95,27.7
96,32.6
97,30.0
98,31.0
99,33.7
100,36.5
101,37.7
102,36.2
103,40.1
104,32.2
105,32.5
106,40.8
107,32.7
108,34.5
109,37.0
110,35.0
111,29.4
112,40.3
113,47.3
114,42.4
115,39.1
116,50.0
117,46.7
118,42.6
119,49.6
120,43.7
121,50.1
122,39.8
123,48.8
124,41.5
125,42.5
126,49.0
127,51.9
128,48.5
129,38.3
130,44.0
131,35.0
132,37.0
133,32.5
134,40.0
135,35.9
136,36.7
137,31.7
138,32.9
139,33.7
140,35.0
141,42.5
142,34.8
143,50.8
144,42.1
145,42.9
146,33.8
147,40.1
148,40.7
149,42.1
150,33.0
151,45.0
152,35.4
153,41.8
154,32.4
155,39.0
156,35.3
157,34.0
158,29.0
159,35.3
160,36.4
161,32.4
162,28.2
163,34.5
164,36.4
165,31.1
166,38.3
167,27.9
168,42.2
169,36.3
170,37.1
171,33.3
172,43.9
173,34.6
174,35.6
175,56.3
176,42.3
177,32.9
178,28.4
179,40.1
180,46.5
181,31.0
182,36.7
183,32.4
184,33.9
185,45.7
186,234.0
187,39.7
188,45.4
189,36.6
190,91.4
191,40.7
192,39.6
193,38.2
194,35.5
195,50.8
196,32.5
197,39.9
198,53.9
199,36.4
200,43.6
201,33.1
202,39.4
203,36.1
204,36.1
205,42.0
206,56.4
207,62.5
208,42.4
209,37.5
210,39.2
211,45.3
212,35.7
213,40.1
214,33.7
215,43.9
216,36.9
217,32.5
218,34.4
219,32.4
220,42.0
221,29.7
222,33.7
223,30.6
224,29.9
225,39.3
226,49.7
227,36.6
228,31.1
229,38.1
230,32.9
231,34.3
232,41.2
233,42.1
234,43.5
235,39.3
236,35.9
237,47.0
238,43.4
239,33.6
240,44.5
241,40.2
242,42.4
243,42.8
244,58.4
245,32.5
246,32.6
247,38.5
248,44.8
249,46.3
250,49.9
251,46.8
252,54.3
253,49.3
254,44.3
255,51.2
256,47.1
257,48.8
258,38.4
259,38.4
260,35.2
261,47.3
262,42.9
263,39.2
264,34.7
265,51.8
266,48.3
267,44.0
268,50.7
269,57.7
270,44.8
271,44.5
272,38.7
273,42.5
274,48.2
275,34.0
276,32.9
277,36.7
278,34.7
279,44.8
280,30.3
281,33.0
282,31.8
283,42.6
284,41.2
285,33.8
286,39.7
287,30.2
288,36.7
289,31.7
290,36.0
291,43.1
292,42.3
