Date,Time,Min,Avg,Max,Mdev
20240413,18:25:09,111.756,127.328,149.443,10.706
20240413,17:44:34,107.314,125.663,142.81,9.036
20240412,21:41:08,101.057,119.167,143.695,12.571
20240413,19:34:05,103.565,121.187,154.855,13.547
20240413,18:29:24,105.257,138.354,200.996,20.789
20240413,18:20:57,100.594,117.288,134.094,8.996
20240413,18:42:25,110.017,178.931,264.396,37.508
20240412,21:28:47,106.012,173.526,443.083,97.1
20240413,18:51:07,107.773,140.481,181.645,16.42
20240412,22:29:58,108.397,124.799,132.925,7.197
20240413,19:50:42,84.597,95.638,208.114,26.067
20240413,17:40:33,103.112,131.621,396.849,61.203
20240412,22:17:16,109.488,123.346,147.15,10.115
20240413,19:42:26,93.472,126.267,155.177,16.536
20240413,17:51:53,97.822,115.032,136.011,8.702
20240413,17:19:58,103.82,123.614,135.477,7.319
20240413,18:16:52,105.38,116.046,124.798,5.554
20240412,20:14:57,87.796,97.373,193.772,22.315
20240412,20:55:10,103.144,118.435,132.226,7.864
20240413,17:36:33,101.358,109.388,117.599,4.422
20240412,19:50:17,139.152,188.914,289.595,39.908
20240413,19:04:02,161.734,388.699,982.272,269.424
20240413,17:32:27,101.677,119.731,136.635,8.413
20240412,22:38:13,115.52,130.567,156.086,8.239
20240413,19:12:32,108.134,142.483,183.225,18.903
20240413,17:15:57,107.443,122.991,135.899,8.016
20240413,19:46:28,98.98,136.005,170.224,16.882
20240413,17:07:15,110.0,121.82,135.378,6.714
20240413,18:08:32,110.539,122.631,133.559,6.717
20240413,18:47:00,90.681,103.958,191.237,20.93
20240412,22:25:46,99.879,118.733,132.089,8.047
20240413,18:37:52,117.72,149.411,192.01,21.452
20240412,21:32:52,97.26,118.265,134.807,11.137
20240413,18:00:09,99.654,119.245,148.335,10.453
20240412,20:06:23,130.426,357.281,1619.899,365.532
20240412,19:44:30,121.217,183.247,376.241,50.644
20240413,19:25:56,110.21,151.15,280.316,39.982
20240413,19:21:39,171.746,364.361,845.424,161.925
20240412,22:21:32,101.831,123.519,160.499,13.888
20240413,17:11:52,109.06,118.598,127.638,5.028
20240413,17:28:24,102.411,121.137,136.755,9.035
20240412,18:59:23,88.299,95.283,103.892,4.973
20240412,19:33:52,121.463,147.65,180.263,16.722
20240412,20:22:52,96.095,126.211,174.641,17.041
20240412,19:47:16,117.925,179.82,449.55,72.196
20240413,17:55:59,112.77,131.778,194.981,16.054
20240412,19:40:59,146.652,505.091,3492.013,818.444
20240412,20:46:43,110.409,130.734,324.696,45.077
20240412,20:38:20,113.849,137.107,182.75,17.418
20240412,21:36:58,101.344,114.57,135.817,8.459
20240412,20:51:00,110.317,130.28,169.984,15.112
20240413,18:59:41,131.205,185.868,285.818,41.336
20240412,19:03:54,97.522,121.233,142.877,12.168
20240412,20:42:28,106.148,127.121,148.825,11.428
20240412,20:29:47,106.625,146.085,288.32,43.631
20240413,18:04:23,114.933,125.835,149.922,8.974
20240413,19:29:59,107.619,134.368,165.306,15.724
20240412,22:13:10,107.0,123.178,141.484,6.836
20240413,19:38:18,102.505,127.618,171.105,17.702
20240413,19:54:43,87.507,93.735,115.113,6.525
20240413,17:24:19,106.312,119.231,134.547,7.657
20240412,19:32:29,99.018,117.665,136.635,10.318
20240412,19:43:06,149.756,181.691,228.745,24.234
20240412,22:34:10,100.872,122.538,146.406,11.377
20240412,19:08:07,97.762,123.729,146.506,13.585
20240412,20:10:57,113.184,133.878,156.496,12.522
20240413,18:33:41,124.17,142.895,160.4,11.219
20240413,18:12:43,100.278,116.645,134.729,9.265
20240413,19:17:18,107.456,134.008,185.783,21.297
20240413,17:03:03,99.66,115.195,133.187,10.008
20240412,19:45:53,112.735,158.448,292.766,49.534
20240412,20:34:09,119.761,135.525,153.873,10.434
20240412,22:08:41,103.374,117.781,135.319,8.62
20240413,19:08:14,108.286,144.168,189.04,22.771
20240412,19:48:46,138.115,172.781,200.771,17.45
20240413,18:55:14,91.298,117.877,184.005,27.403
