Date,Time,Min,Avg,Max,Mdev
20240413,19:37:43,111.724,138.321,160.391,13.144
20240412,22:20:59,159.487,176.806,189.825,8.258
20240412,19:43:58,160.602,206.395,265.115,31.452
20240412,22:33:38,149.917,168.72,185.643,8.878
20240412,22:16:44,162.546,174.856,184.703,7.16
20240413,18:12:09,109.231,129.856,225.029,24.323
20240413,19:54:10,96.118,105.063,141.214,10.858
20240413,18:16:18,109.585,125.736,135.397,5.543
20240412,19:49:38,152.117,364.242,1672.756,386.186
20240413,19:03:29,144.946,180.07,235.106,22.809
20240412,19:46:43,122.856,153.756,192.812,17.049
20240413,17:23:46,100.936,123.858,137.644,8.098
20240412,22:37:41,169.578,180.717,195.131,6.999
20240412,22:25:13,170.296,184.466,197.805,7.565
20240413,17:31:55,109.433,124.969,144.103,7.568
20240413,17:19:25,119.55,131.989,155.272,9.418
20240412,21:32:20,140.77,157.567,185.612,12.078
20240412,20:26:42,110.491,170.499,264.168,32.451
20240413,19:41:54,110.063,136.264,158.704,13.864
20240413,17:06:42,111.76,127.844,148.541,9.096
20240413,17:11:19,109.83,121.739,133.713,6.705
20240413,17:15:25,109.095,131.844,149.595,11.134
20240413,17:55:26,123.505,144.732,197.283,14.361
20240413,19:16:46,117.282,145.124,186.263,19.906
20240412,19:40:26,147.583,183.588,216.422,16.21
20240413,17:44:01,116.523,134.252,143.912,6.825
20240413,19:07:41,107.108,146.083,220.944,25.191
20240412,20:37:48,139.017,178.259,223.176,22.513
20240413,18:03:51,107.083,125.734,158.217,9.998
20240412,19:48:12,136.219,243.022,635.929,126.036
20240413,17:40:01,117.177,134.765,316.074,41.92
20240412,20:54:33,123.799,147.283,176.23,10.777
20240413,18:28:51,121.106,133.612,146.183,6.756
20240413,19:29:26,118.147,149.451,231.386,22.567
20240412,19:03:22,145.234,175.429,239.338,21.151
20240413,18:41:51,137.024,219.875,576.299,109.496
20240413,19:33:33,117.88,136.73,157.308,11.407
20240412,21:36:25,146.319,164.525,182.101,11.372
20240412,19:42:34,187.377,298.594,926.014,155.739
20240412,21:28:14,127.375,150.484,170.409,9.314
20240413,19:50:09,96.249,99.45,106.677,2.717
20240413,17:35:58,110.072,120.72,134.105,6.845
20240412,20:46:10,115.498,135.443,156.687,9.335
20240412,22:08:08,160.282,175.095,189.598,7.582
20240412,20:41:55,98.007,103.308,137.91,8.315
20240413,19:21:05,151.193,349.771,683.392,149.731
20240412,22:12:38,168.716,180.883,198.332,8.163
20240412,19:07:35,116.052,148.513,178.434,16.627
20240412,20:50:27,111.975,144.977,406.435,60.525
20240412,20:05:50,134.01,176.362,303.119,54.044
20240413,18:46:28,96.245,106.225,146.779,10.236
20240413,18:50:35,120.525,143.909,176.922,13.652
20240412,19:45:20,123.403,169.761,220.261,24.066
20240413,18:20:24,110.355,129.394,176.116,13.336
20240413,18:59:08,139.616,247.805,329.378,51.577
20240412,19:33:19,150.67,183.259,279.621,26.935
20240413,18:37:19,113.764,155.397,232.096,33.037
20240413,17:59:35,118.725,146.216,200.754,19.034
20240412,20:14:24,104.145,156.199,235.895,34.03
20240413,17:51:20,101.517,123.888,147.007,9.166
20240412,18:58:50,90.966,140.183,223.689,34.742
20240413,18:54:41,99.994,122.719,183.152,24.923
20240413,19:25:22,120.557,143.401,167.498,12.842
20240413,18:24:36,112.57,126.11,143.778,7.564
20240413,18:07:59,114.459,132.544,144.765,7.146
20240412,21:40:36,144.82,163.263,181.394,9.074
20240412,22:29:25,168.889,188.51,208.557,10.941
20240413,18:33:08,118.452,167.014,273.309,44.821
20240412,20:22:20,108.858,123.579,144.51,10.687
20240413,17:27:51,109.275,124.362,149.766,9.697
20240412,19:31:57,147.365,172.932,213.774,19.426
20240412,19:34:41,136.745,166.234,196.266,16.235
20240412,20:33:37,122.128,162.432,232.788,26.269
20240412,20:10:24,124.792,143.616,187.855,14.961
20240413,19:11:55,131.18,162.712,251.534,33.089
20240413,17:02:30,116.752,125.817,143.126,5.888
20240413,19:45:55,96.742,101.606,112.656,4.874
