Date,Time,Min,Avg,Max,Mdev
20240413,18:07:48,271.373,396.294,580.525,105.553
20240413,19:16:35,275.349,311.474,354.27,22.638
20240412,20:22:09,248.362,257.836,294.834,10.707
20240413,19:37:32,274.26,299.587,331.601,14.732
20240413,17:11:08,290.815,370.614,558.485,98.779
20240412,22:12:27,269.872,287.779,462.051,40.687
20240413,18:03:40,270.143,285.995,304.821,11.746
20240413,17:39:50,266.64,310.936,543.722,78.895
20240412,19:03:11,266.478,291.214,319.758,13.952
20240412,20:54:22,266.42,377.456,550.793,103.296
20240412,21:32:09,261.814,418.89,635.101,116.781
20240412,22:20:48,264.463,275.512,288.474,7.038
20240412,19:47:56,281.395,316.338,494.17,43.301
20240412,20:41:45,255.178,260.973,275.408,5.093
20240413,19:11:45,259.275,287.587,338.518,22.067
20240413,17:31:44,265.053,277.769,287.899,5.648
20240413,19:41:43,275.245,317.646,394.966,29.42
20240413,19:29:15,288.392,309.256,328.632,11.972
20240412,18:58:39,271.95,302.603,365.586,27.982
20240412,19:43:47,298.971,334.672,376.179,22.259
20240413,19:20:54,279.704,323.325,375.145,21.07
20240413,17:43:51,279.577,299.661,425.796,29.834
20240413,19:07:30,270.576,311.82,363.558,26.334
20240412,22:16:33,261.491,284.917,542.968,59.587
20240412,20:10:13,271.068,289.785,312.906,11.485
20240412,20:05:39,288.162,515.262,1429.659,241.982
20240412,21:36:15,254.817,266.638,279.287,6.948
20240412,20:46:00,258.898,272.853,290.456,7.66
20240413,17:51:09,267.261,284.041,357.595,18.556
20240412,19:34:30,265.88,291.843,316.018,14.664
20240413,19:49:59,252.308,260.967,276.427,5.291
20240413,19:25:11,275.186,307.622,366.987,19.8
20240412,19:40:15,289.219,324.263,443.506,30.734
20240413,17:02:19,264.815,282.74,295.36,8.068
20240413,18:58:57,311.988,420.309,518.386,58.976
20240413,18:11:58,263.644,283.693,323.132,15.087
20240412,22:33:27,258.262,360.895,555.434,107.718
20240413,19:45:45,256.169,262.547,273.146,4.824
20240412,20:26:31,269.079,337.687,435.32,32.647
20240412,19:31:46,264.026,289.684,317.422,14.342
20240412,20:33:26,249.832,331.592,528.802,63.492
20240413,19:33:22,283.735,306.907,350.172,17.134
20240412,22:29:14,271.007,289.649,330.779,13.975
20240413,18:41:40,287.321,328.004,374.831,21.176
20240413,19:03:18,304.54,338.685,379.097,25.288
20240413,18:32:57,262.227,363.03,1124.84,189.7
20240412,22:37:30,277.556,290.565,330.758,14.009
20240413,17:15:14,279.691,405.138,575.286,102.559
20240413,18:54:30,258.651,265.578,295.079,8.636
20240413,17:27:40,274.055,328.165,556.749,81.823
20240412,19:33:08,280.844,301.019,341.013,14.726
20240413,17:59:25,281.25,366.678,540.608,87.746
20240413,17:35:47,268.855,284.06,306.99,9.559
20240413,18:16:08,270.807,305.502,533.145,55.805
20240412,22:25:02,262.347,297.214,465.804,52.356
20240413,17:23:35,268.067,383.704,558.035,98.952
20240412,20:37:37,285.921,325.781,413.116,30.443
20240413,19:53:59,258.537,268.268,281.246,6.611
20240412,20:14:14,256.431,276.249,338.661,23.012
20240413,18:28:40,275.088,418.667,594.028,103.092
20240412,19:07:24,258.517,288.612,318.065,17.97
20240413,17:55:15,276.132,293.621,371.197,20.48
20240412,19:42:23,293.429,344.996,442.614,43.56
20240413,18:50:24,270.791,301.555,356.979,20.796
20240412,19:49:27,309.379,342.794,380.753,17.085
20240412,19:45:09,282.241,331.164,464.448,41.887
20240412,20:50:17,264.533,376.324,567.893,97.352
20240413,17:19:14,280.458,317.569,569.593,64.109
20240412,19:46:32,278.048,310.334,356.139,23.061
20240413,17:06:29,267.223,303.682,545.671,69.17
20240413,18:24:25,261.822,299.984,482.977,52.53
20240413,18:46:17,254.39,263.803,301.288,10.303
20240413,18:20:13,270.44,361.269,570.891,101.315
20240412,22:07:57,258.946,283.465,550.231,61.49
20240412,21:28:03,263.581,384.461,547.728,95.683
20240412,21:40:25,264.04,358.33,542.816,89.46
20240413,18:37:08,281.336,330.637,417.686,41.381
