Date,Time,Min,Avg,Max,Mdev
20240413,17:11:41,228.002,245.002,311.103,21.893
20240413,19:25:45,237.628,264.286,317.654,17.869
20240412,20:14:46,217.449,234.296,278.475,16.95
20240412,19:07:56,238.871,261.295,298.954,16.225
20240412,20:38:09,242.223,267.643,310.826,17.461
20240413,18:33:30,224.962,278.706,478.269,50.254
20240413,17:51:42,230.367,242.233,256.62,8.701
20240413,18:59:30,301.71,354.208,505.478,59.44
20240412,19:33:41,241.502,272.596,300.137,18.175
20240413,17:59:58,231.777,305.014,531.732,94.422
20240413,18:29:13,236.09,287.531,441.079,46.89
20240412,20:54:59,232.444,241.21,260.571,6.818
20240413,18:20:46,233.363,243.871,255.034,6.999
20240412,19:03:44,234.074,253.682,284.988,13.38
20240413,19:21:28,273.27,441.072,857.805,154.36
20240413,17:55:48,245.398,310.138,545.028,90.705
20240412,21:36:47,227.73,246.18,297.422,18.046
20240413,17:44:23,239.623,249.946,268.92,7.425
20240413,18:16:41,232.028,250.522,275.369,10.546
20240412,20:50:49,235.258,269.209,452.74,47.552
20240413,19:46:17,229.026,252.143,271.842,12.433
20240413,18:42:14,227.612,353.395,706.254,127.232
20240413,19:17:08,241.022,269.615,313.334,19.306
20240413,19:29:48,245.549,280.951,497.092,54.473
20240413,18:04:13,231.27,245.091,262.476,7.992
20240412,19:32:19,231.968,251.143,268.662,10.131
20240413,19:54:32,214.145,223.246,242.024,7.521
20240412,22:33:59,225.665,248.96,269.384,12.999
20240413,19:33:54,242.429,274.965,454.346,43.273
20240412,22:12:59,231.39,245.684,289.26,12.284
20240412,20:28:19,240.088,263.474,302.105,17.803
20240412,20:06:12,251.915,317.466,462.494,57.326
20240413,17:40:22,231.919,289.252,537.263,86.005
20240412,21:28:36,223.115,303.273,514.294,95.454
20240412,21:40:57,222.163,268.938,505.819,77.397
20240412,20:10:46,241.818,270.19,303.599,16.841
20240412,20:46:32,228.11,314.485,519.813,91.692
20240413,18:55:03,228.994,278.008,340.917,31.772
20240413,17:15:47,231.486,249.361,349.558,24.231
20240412,20:33:58,238.817,262.559,289.503,13.753
20240413,17:07:04,227.63,237.972,247.058,5.622
20240413,18:50:56,228.63,283.607,424.58,44.479
20240413,17:19:47,234.564,242.249,252.831,4.854
20240412,19:50:06,265.828,299.772,380.2,30.459
20240412,22:25:35,233.242,264.638,450.543,57.375
20240412,22:17:06,238.4,255.859,273.066,9.375
20240413,19:03:51,284.109,323.651,368.675,25.124
20240412,20:22:41,245.059,268.108,315.089,20.963
20240412,22:38:03,243.688,252.383,274.999,6.351
20240413,18:24:58,221.297,243.612,320.569,19.67
20240413,19:42:15,231.172,263.533,289.912,14.204
20240413,18:37:41,245.695,281.046,407.724,38.223
20240412,19:47:06,249.393,272.746,306.952,15.671
20240413,17:28:13,230.43,242.41,261.483,7.862
20240412,18:59:12,215.649,228.383,314.854,21.399
20240413,19:38:05,231.673,373.66,1438.243,292.704
20240413,18:46:49,219.323,226.506,252.12,9.054
20240413,19:50:31,212.198,222.608,260.496,12.547
20240413,18:08:21,231.854,245.885,289.895,11.997
20240412,19:42:56,252.341,308.948,363.306,30.812
20240412,19:44:19,267.954,312.765,385.47,28.751
20240412,19:45:42,244.362,279.074,320.048,22.918
20240413,17:24:08,231.095,256.816,317.45,18.808
20240413,17:02:52,227.76,255.215,425.935,44.86
20240412,20:42:17,234.616,274.893,517.042,58.188
20240412,19:40:47,269.643,294.845,337.806,18.356
20240412,22:08:30,228.065,278.232,534.686,65.802
20240413,18:12:31,228.027,244.933,300.202,15.734
20240413,17:32:16,222.237,240.957,284.939,13.279
20240412,22:21:21,231.928,241.363,256.689,7.623
20240412,19:48:34,246.673,346.876,654.079,120.663
20240412,21:32:42,230.324,263.257,367.06,40.681
20240413,19:08:03,238.74,274.52,317.147,20.826
20240413,19:12:18,240.385,265.068,313.456,18.288
20240412,22:29:47,241.732,256.117,338.406,20.301
20240413,17:36:22,230.271,239.14,246.821,4.822
