Date,Time,Min,Avg,Max,Mdev
20240413,18:54:52,237.566,284.563,397.441,36.72
20240413,17:06:53,208.926,257.243,351.041,28.914
20240413,18:12:20,238.313,257.851,274.279,9.351
20240412,20:06:01,272.943,287.448,295.901,5.577
20240413,19:50:20,218.355,235.448,254.23,7.046
20240413,19:46:07,227.64,261.881,301.527,18.14
20240412,20:42:06,193.476,208.335,233.659,12.275
20240413,17:55:37,257.547,369.788,542.256,96.332
20240412,20:10:35,282.833,300.755,344.135,14.439
20240413,17:11:30,213.74,248.714,315.537,21.541
20240413,18:33:19,240.169,313.994,602.117,79.72
20240413,19:07:52,248.188,285.076,320.291,23.016
20240413,17:59:46,235.026,326.593,566.821,105.53
20240412,21:28:25,209.625,249.698,527.536,84.389
20240412,22:29:36,208.201,227.607,249.557,9.15
20240412,20:37:59,229.802,260.771,295.779,19.755
20240413,18:46:38,230.537,243.646,268.289,9.189
20240413,17:28:02,246.845,256.051,269.925,7.064
20240412,19:49:49,294.648,2554.468,9576.195,2925.336
20240412,19:40:36,278.768,315.233,341.602,16.367
20240413,17:40:11,220.351,315.485,553.85,99.845
20240412,21:40:46,207.491,224.849,236.136,6.586
20240412,21:36:36,205.293,225.248,295.894,18.971
20240413,18:04:02,239.888,256.48,278.705,9.875
20240413,17:15:36,244.306,364.869,531.89,104.48
20240413,17:19:36,236.088,257.648,271.482,9.276
20240412,19:48:23,264.188,306.93,352.522,24.577
20240412,20:26:53,235.28,268.79,313.397,22.495
20240413,17:36:11,221.903,261.055,357.929,26.048
20240413,19:25:34,243.778,266.359,288.946,12.492
20240412,22:08:19,205.969,222.572,241.469,10.979
20240413,19:54:21,210.273,239.751,285.083,12.83
20240412,19:44:09,282.666,331.669,380.785,24.656
20240412,19:45:31,272.453,314.453,354.437,24.451
20240412,18:59:01,188.953,204.445,318.878,27.028
20240412,20:22:30,193.16,201.238,231.644,10.183
20240413,19:37:54,244.525,269.989,307.668,14.912
20240412,19:32:08,260.03,281.461,320.415,15.145
20240412,20:33:48,201.768,228.025,278.398,18.674
20240412,19:46:54,274.184,322.711,464.758,45.921
20240413,18:16:29,249.293,310.026,546.669,91.298
20240413,19:33:43,255.428,277.125,305.556,13.039
20240413,17:32:05,234.468,247.343,261.75,6.021
20240413,17:44:12,245.6,258.209,269.031,6.684
20240413,17:51:31,208.06,255.469,331.399,22.753
20240413,19:12:06,229.289,296.226,397.115,36.281
20240412,19:42:45,273.767,340.616,416.388,39.398
20240412,20:54:48,202.796,219.756,245.452,9.769
20240413,18:24:47,237.64,257.685,274.288,8.935
20240412,22:33:49,205.844,223.655,234.574,7.544
20240412,22:21:10,212.587,221.739,235.091,7.424
20240413,18:59:19,305.008,364.838,477.388,49.612
20240413,19:42:04,251.428,273.91,300.865,15.531
20240413,17:23:57,227.152,274.813,462.507,51.542
20240412,19:03:33,200.96,228.011,259.6,14.005
20240413,18:29:02,240.698,355.047,559.367,98.363
20240412,20:50:38,200.685,219.886,232.861,8.777
20240412,22:37:52,215.679,229.594,242.532,6.601
20240413,18:50:45,248.051,278.564,318.402,19.894
20240412,22:12:49,213.876,228.449,278.872,13.845
20240413,18:42:03,260.955,296.472,347.258,24.254
20240413,17:02:41,229.155,259.402,425.463,41.689
20240413,18:37:30,268.962,314.313,514.685,52.52
20240413,19:21:16,333.674,1218.052,2862.54,737.327
20240413,18:20:34,226.011,278.796,538.048,83.941
20240413,19:16:56,251.577,285.757,347.523,23.67
20240412,21:32:31,204.835,220.22,235.708,7.966
20240412,20:46:21,206.817,228.134,309.51,20.76
20240412,19:07:45,208.332,497.577,2416.04,608.731
20240412,22:25:24,212.745,226.046,241.251,7.96
20240413,19:29:37,211.599,274.926,426.868,41.167
20240412,22:16:55,207.659,225.897,241.803,9.121
20240413,19:03:40,285.78,327.9,371.808,24.565
20240413,18:08:10,239.428,286.05,543.848,76.796
20240412,19:33:30,252.832,288.396,315.525,17.582
20240412,20:14:35,255.01,286.38,338.224,20.263
