Date,Time,Min,Avg,Max,Mdev
20240412,21:40:14,34.502,49.672,60.902,6.926
20240412,21:31:58,34.104,49.267,69.701,8.058
20240412,19:07:13,33.601,51.469,79.669,12.085
20240413,17:59:14,41.993,55.721,67.775,7.149
20240413,19:49:48,15.01,24.596,116.368,21.26
20240413,18:54:20,20.264,27.945,63.915,9.409
20240413,19:37:21,35.108,52.487,206.237,36.192
20240412,20:33:15,59.238,139.857,439.472,85.268
20240412,22:07:46,32.617,45.654,59.081,8.722
20240412,20:41:34,19.485,26.968,60.782,9.899
20240413,19:25:00,43.671,69.276,110.643,16.421
20240413,19:45:34,15.135,27.463,107.296,19.522
20240412,22:24:52,43.318,54.162,82.084,8.442
20240412,19:47:45,33.785,99.405,425.082,81.393
20240413,17:55:05,46.333,64.495,105.084,14.794
20240412,19:34:19,28.559,44.003,84.513,13.536
20240412,19:51:33,77.687,98.873,132.601,15.352
20240413,17:43:40,42.301,56.08,66.479,6.097
20240412,18:58:28,36.1,83.523,191.204,40.674
20240413,19:29:04,29.445,43.067,61.182,9.285
20240413,17:23:24,34.343,49.452,67.0,8.912
20240412,20:37:26,46.201,88.101,261.035,52.717
20240412,19:49:16,71.723,99.891,128.156,13.694
20240412,20:26:21,29.302,83.896,219.9,37.67
20240412,20:45:49,38.314,51.748,95.286,12.47
20240413,17:50:58,34.833,50.34,62.696,5.792
20240412,19:46:21,31.697,48.374,81.585,10.885
20240413,18:28:30,46.069,59.441,69.937,6.546
20240412,22:41:29,43.513,57.559,68.064,6.45
20240412,20:54:11,32.396,50.671,66.425,8.011
20240413,17:31:33,32.256,49.084,74.085,8.692
20240413,18:32:46,19.424,25.801,37.148,5.057
20240412,19:40:04,58.567,84.019,109.755,12.335
20240413,19:53:49,16.012,26.711,52.545,8.91
20240413,18:24:14,42.282,58.771,94.534,13.665
20240412,19:31:35,28.379,38.087,57.734,7.547
20240412,22:16:22,29.449,48.84,60.647,7.816
20240413,18:03:29,33.51,48.581,65.777,9.115
20240412,22:20:37,34.75,51.368,68.164,8.458
20240413,17:39:39,33.492,40.877,56.154,5.472
20240413,18:58:46,61.711,144.09,313.699,68.086
20240413,18:07:37,37.705,65.159,114.683,19.158
20240413,19:07:19,33.853,50.131,81.895,12.186
20240413,18:50:13,31.426,54.126,113.561,19.224
20240413,19:11:34,20.227,27.331,73.435,10.944
20240412,22:33:16,31.366,47.377,65.611,8.529
20240413,17:10:57,63.874,79.179,99.648,7.648
20240412,20:50:06,34.054,51.824,65.202,8.087
20240413,19:03:08,80.8,100.679,120.222,11.293
20240413,19:41:32,15.885,62.463,171.346,52.395
20240412,22:29:04,38.464,60.358,121.722,15.384
20240412,21:27:53,33.944,49.781,139.78,21.558
20240412,20:05:29,50.862,123.213,526.669,109.918
20240412,22:12:16,36.597,55.348,67.72,8.019
20240413,17:15:03,34.795,57.057,75.024,9.077
20240412,19:43:36,50.327,75.295,152.21,24.623
20240413,19:20:43,52.783,87.842,199.157,41.105
20240412,22:37:19,41.975,58.821,82.759,9.998
20240413,18:46:06,20.287,31.964,66.991,12.758
20240413,17:27:29,35.13,48.403,66.628,9.002
20240413,18:20:02,31.835,50.861,72.957,9.616
20240413,18:15:57,39.599,51.657,71.999,7.69
20240412,20:10:03,29.757,52.545,86.844,14.534
20240412,20:14:03,18.985,28.02,80.622,13.422
20240412,19:44:59,39.116,63.828,116.843,19.281
20240413,17:35:36,24.747,46.555,93.967,14.678
20240412,21:36:04,29.73,45.888,65.014,8.857
20240412,19:03:00,31.838,59.484,275.096,52.103
20240413,18:41:29,45.31,66.872,88.837,12.931
20240413,17:02:08,29.694,44.366,56.878,7.062
20240413,19:16:23,24.52,58.559,93.477,16.465
20240412,19:32:57,22.044,37.6,55.276,6.842
20240413,19:33:11,36.532,52.919,84.306,13.824
20240412,19:42:12,63.282,219.34,408.125,110.556
20240413,17:19:03,32.378,52.103,63.991,8.916
20240413,18:36:57,54.516,102.278,221.516,45.525
20240412,20:21:58,20.249,30.926,72.564,14.727
20240413,18:11:47,30.042,335.46,2221.331,614.693
20240413,17:06:17,33.482,49.064,60.861,6.847
