Date,Time,Min,Avg,Max,Mdev
20240412,19:49:16,91.389,97.526,114.301,5.149
20240413,18:03:28,111.516,116.202,130.001,4.061
20240413,18:11:46,90.796,95.266,104.534,3.289
20240413,18:41:28,85.034,93.972,107.957,4.832
20240413,19:53:48,86.281,96.059,138.792,11.708
20240412,22:33:15,110.836,121.324,157.193,12.178
20240413,19:16:22,81.787,89.692,120.617,8.845
20240413,19:45:33,113.97,120.912,129.42,4.353
20240413,19:37:20,98.214,108.843,117.24,4.875
20240413,17:55:03,87.522,92.831,112.263,5.105
20240412,20:41:33,92.201,103.216,123.771,8.458
20240412,21:27:52,87.895,93.497,100.608,3.294
20240413,19:03:07,82.783,88.927,97.413,3.993
20240413,18:50:12,82.09,86.435,90.665,2.597
20240412,23:00:30,87.189,93.373,101.191,3.502
20240413,17:39:38,88.506,99.38,113.49,9.19
20240412,22:29:03,107.285,117.786,169.729,13.791
20240413,17:06:16,97.14,104.614,123.272,5.293
20240413,19:41:31,111.037,137.716,424.861,69.995
20240413,19:11:33,84.975,100.514,107.941,4.837
20240412,22:12:15,88.553,98.344,118.337,7.697
20240413,19:20:42,99.359,103.054,110.782,3.213
20240412,20:21:57,89.486,98.936,112.043,5.122
20240413,18:24:13,97.195,102.862,116.606,4.486
20240413,19:49:47,107.336,115.504,132.278,5.497
20240412,20:10:02,106.987,126.562,151.444,13.472
20240412,19:40:03,108.741,134.922,203.103,24.582
20240413,18:46:05,86.561,90.531,95.006,2.071
20240413,17:15:02,99.477,103.45,110.578,2.839
20240413,17:19:02,97.22,103.381,112.484,3.751
20240413,17:27:28,82.489,89.015,108.324,5.498
20240412,19:07:12,90.511,113.765,236.915,31.653
20240413,17:31:32,94.891,101.318,127.8,6.749
20240412,19:32:56,91.694,99.06,122.844,7.572
20240412,22:24:51,91.489,109.753,126.237,12.822
20240412,19:34:18,92.045,101.212,112.428,4.954
20240412,20:37:25,92.103,118.302,128.676,8.05
20240413,18:07:36,89.108,98.97,168.946,16.612
20240412,20:33:14,92.894,100.734,131.221,8.464
20240412,22:20:36,87.591,107.231,138.928,14.925
20240412,21:31:57,89.18,94.314,97.489,2.409
20240413,17:43:39,95.584,100.993,106.443,2.867
20240412,19:31:34,97.848,108.03,119.197,4.586
20240412,20:26:20,86.405,98.359,112.219,6.551
20240412,21:36:03,112.563,122.425,152.136,7.969
20240413,18:15:56,86.353,93.192,114.891,6.773
20240412,22:41:28,101.496,113.719,129.552,7.571
20240412,22:07:46,93.483,101.382,122.268,6.808
20240413,17:59:13,97.048,106.632,124.669,7.757
20240413,17:10:56,88.678,103.532,149.977,14.542
20240412,20:50:05,91.686,97.991,108.579,5.091
20240412,22:16:21,87.917,96.703,103.605,5.02
20240413,18:54:18,88.597,96.909,118.924,6.812
20240412,20:14:02,93.112,100.58,124.238,6.942
20240413,18:28:28,81.579,89.013,96.723,3.548
20240412,19:46:20,91.827,98.96,113.461,5.605
20240413,18:20:01,85.54,93.591,107.665,5.948
20240412,18:58:27,97.35,103.592,112.053,4.305
20240412,19:02:59,101.08,115.577,142.687,11.695
20240412,19:42:12,97.626,106.529,139.74,9.286
20240413,19:07:18,84.291,105.828,119.596,9.448
20240413,19:24:59,110.919,114.962,120.053,2.706
20240413,17:35:35,91.705,97.749,109.351,4.903
20240412,19:43:35,87.887,94.788,102.864,4.051
20240413,19:33:10,110.518,132.349,175.351,18.374
20240412,21:40:13,92.468,99.179,105.226,3.975
20240412,20:54:11,92.977,110.561,115.598,5.833
20240413,17:50:57,83.558,108.582,129.044,10.419
20240413,17:02:07,98.345,111.264,126.483,9.044
20240413,19:29:03,94.691,102.528,136.244,9.077
20240412,19:51:33,92.342,99.295,130.647,8.451
20240413,18:58:45,98.229,103.987,116.114,4.659
20240412,20:05:28,97.176,102.754,111.603,3.407
20240413,17:23:23,109.439,127.415,189.141,15.11
20240413,18:32:45,99.381,107.319,141.905,9.143
20240413,18:36:56,97.6,169.945,392.66,90.251
20240412,22:37:18,108.71,119.775,130.133,5.804
20240412,20:45:48,87.804,95.195,104.492,4.522
20240412,19:47:44,91.358,96.554,104.678,3.371
20240412,19:44:58,97.102,102.06,109.744,3.302
