Date,Time,Min,Avg,Max,Mdev
20240413,17:28:01,123.206,131.192,145.901,5.926
20240413,18:04:01,148.162,154.334,164.581,4.136
20240413,19:54:20,121.585,143.229,157.244,11.097
20240412,20:22:30,100.979,111.376,129.411,6.949
20240412,19:40:36,119.252,136.941,175.777,15.413
20240412,21:36:36,100.534,120.426,162.55,17.577
20240413,19:07:51,120.006,126.351,132.845,3.422
20240413,19:03:39,123.241,136.596,175.016,14.277
20240413,17:44:11,132.986,138.968,146.289,3.815
20240413,19:25:33,136.559,150.938,159.648,6.047
20240413,17:23:56,130.143,134.817,140.917,3.725
20240412,22:21:09,116.138,128.111,137.553,5.675
20240412,19:03:32,109.557,123.983,289.307,40.225
20240413,19:21:15,151.357,155.749,165.454,3.578
20240412,21:28:25,102.506,114.7,210.552,22.944
20240412,22:25:23,104.317,141.928,469.185,78.442
20240412,22:33:48,124.362,133.731,148.593,4.894
20240413,19:42:03,133.591,147.094,186.598,12.294
20240413,18:16:28,118.922,126.055,140.296,6.525
20240413,19:50:19,132.019,167.571,492.879,81.698
20240412,19:07:45,103.186,114.559,179.504,17.592
20240412,20:10:34,100.666,107.514,125.326,6.556
20240412,19:49:48,103.096,106.439,119.441,4.22
20240413,17:11:29,128.605,136.676,146.864,4.567
20240413,17:32:04,125.073,131.846,162.66,8.169
20240413,18:29:01,130.841,134.916,143.449,3.002
20240412,19:45:30,103.193,115.343,165.515,13.555
20240413,17:06:52,133.619,143.634,162.561,8.792
20240413,18:59:18,135.345,152.997,193.231,11.777
20240412,21:32:30,99.197,103.651,111.088,2.621
20240413,18:24:46,119.329,123.011,127.982,2.815
20240412,19:33:29,102.547,110.09,123.661,5.549
20240412,20:33:47,128.372,137.242,150.565,5.82
20240413,18:46:37,120.411,134.875,150.521,10.706
20240413,19:16:55,135.413,148.684,165.563,6.855
20240412,18:59:00,113.786,232.134,504.122,145.314
20240413,17:55:36,123.636,149.091,218.657,30.113
20240413,18:20:33,126.52,145.464,158.157,7.958
20240412,20:54:47,98.141,129.124,234.215,29.86
20240413,17:40:10,120.325,129.779,150.188,9.29
20240413,18:42:02,120.586,216.788,429.327,91.364
20240412,20:14:34,103.549,121.442,320.795,47.179
20240413,18:54:51,143.625,150.148,161.68,4.455
20240413,18:50:44,119.014,123.614,130.439,3.262
20240412,20:26:52,99.14,108.343,125.674,6.59
20240412,20:37:58,142.262,148.442,157.955,4.419
20240412,19:32:07,97.508,105.001,111.446,4.209
20240412,19:48:22,104.102,108.544,115.611,3.141
20240412,20:46:21,102.827,109.678,128.974,6.567
20240413,19:29:36,134.648,143.308,150.583,5.339
20240412,20:50:37,101.783,108.596,127.038,5.824
20240413,17:19:35,123.669,132.614,149.979,7.306
20240413,17:15:35,141.773,151.631,184.622,10.661
20240412,20:06:00,134.878,139.594,151.145,3.682
20240413,17:51:29,122.571,126.752,133.878,3.102
20240413,18:33:18,121.727,131.101,150.156,8.257
20240412,21:40:46,134.565,138.425,145.643,3.13
20240412,19:44:08,104.521,111.109,120.856,4.197
20240413,18:37:29,135.704,139.501,145.594,2.635
20240413,17:02:40,141.789,147.727,158.543,4.929
20240412,22:16:54,98.533,107.258,145.765,10.841
20240413,17:59:45,120.382,124.82,137.76,4.029
20240412,22:29:35,104.902,124.733,137.749,10.696
20240412,22:37:51,100.252,116.565,142.607,12.883
20240412,22:08:18,105.105,115.273,137.135,7.955
20240412,22:12:48,99.35,113.225,127.696,6.761
20240413,19:46:06,140.797,165.245,198.684,15.849
20240413,19:33:42,147.52,154.242,171.754,5.13
20240413,19:12:05,128.986,137.833,160.855,6.781
20240412,20:42:06,115.609,127.032,146.121,7.247
20240413,17:36:10,121.353,132.812,145.089,5.514
20240412,19:46:54,99.532,128.908,202.224,33.369
20240413,18:08:09,124.51,137.712,153.601,6.902
20240413,18:12:19,119.871,145.545,244.378,31.786
20240412,19:42:44,103.005,111.403,123.878,4.784
20240413,19:37:53,143.825,170.518,182.326,13.298
