Date,Time,Min,Avg,Max,Mdev
20240413,19:21:04,261.021,277.827,325.799,17.89
20240412,20:41:55,262.81,274.696,285.703,5.751
20240413,18:59:07,268.138,290.871,310.105,12.765
20240413,19:45:54,295.259,319.299,350.325,19.358
20240412,21:36:25,273.053,313.658,412.259,33.317
20240412,19:34:40,253.926,266.217,284.083,8.281
20240412,19:33:19,252.947,262.108,278.743,5.61
20240413,17:31:54,267.17,275.917,288.799,6.655
20240412,19:43:57,255.025,267.297,288.737,9.374
20240412,22:20:58,267.718,273.157,282.778,4.128
20240413,18:07:58,278.646,284.516,304.763,7.218
20240413,19:11:54,266.12,282.875,300.354,9.088
20240412,20:05:49,251.375,267.342,293.34,14.806
20240413,17:51:19,261.908,275.683,309.413,9.958
20240412,20:54:32,253.715,279.546,339.743,24.621
20240412,20:46:10,251.699,259.1,280.527,6.123
20240412,20:50:27,253.427,263.95,277.504,7.271
20240413,17:11:18,275.708,321.341,402.274,31.832
20240412,22:25:12,277.691,287.461,305.32,7.088
20240413,17:06:40,274.369,282.726,291.459,3.667
20240413,18:03:50,277.778,290.881,317.485,10.8
20240413,17:19:24,268.74,281.457,309.647,13.604
20240413,17:27:50,264.354,298.486,524.114,54.953
20240413,19:03:28,293.698,300.744,317.595,6.007
20240412,19:49:37,251.89,258.282,272.791,4.478
20240413,19:07:40,265.217,271.0,277.705,3.351
20240412,19:46:43,252.858,288.479,380.024,35.921
20240412,20:33:36,265.028,278.278,296.409,9.533
20240413,19:33:32,277.397,296.121,306.422,8.18
20240413,19:54:09,290.344,297.262,301.536,3.554
20240413,18:41:50,288.684,376.361,1020.288,167.015
20240413,18:12:08,266.8,303.453,698.428,96.077
20240412,22:37:40,252.017,260.398,280.118,9.047
20240412,22:16:43,255.725,263.322,278.59,7.195
20240412,19:03:21,259.07,269.319,281.766,6.779
20240412,19:42:33,252.295,265.343,317.677,14.662
20240412,19:31:56,254.441,259.868,277.785,5.525
20240413,19:41:53,277.737,289.939,311.989,8.999
20240412,22:33:37,269.812,338.92,824.909,150.266
20240413,18:16:17,271.253,277.147,283.872,3.552
20240413,17:55:25,266.071,299.246,429.704,36.045
20240412,19:45:19,253.546,270.399,335.374,17.935
20240413,17:23:45,273.826,281.843,293.188,5.101
20240413,18:20:23,265.82,283.624,302.617,11.535
20240412,22:12:37,251.917,265.896,287.329,8.703
20240413,18:28:50,273.287,278.537,283.695,2.678
20240412,19:48:11,251.99,256.094,261.977,2.584
20240412,19:40:25,258.501,295.235,524.562,60.947
20240413,19:16:44,279.698,284.144,290.906,2.857
20240413,19:50:08,284.342,296.768,384.266,21.239
20240413,17:35:57,267.731,283.482,294.6,7.178
20240412,20:37:47,254.717,274.763,343.844,20.274
20240412,18:58:49,257.162,269.136,295.735,10.132
20240412,22:08:07,258.337,269.355,285.413,8.524
20240413,18:24:35,268.322,273.223,282.405,4.298
20240413,18:33:07,262.737,290.494,323.989,17.535
20240412,20:10:24,258.892,272.928,290.601,10.376
20240413,19:37:42,286.791,290.064,295.314,2.47
20240413,17:44:00,279.449,284.873,299.114,4.666
20240412,21:40:35,258.152,276.787,296.015,13.046
20240412,21:28:14,251.813,260.831,275.358,4.961
20240413,18:50:34,263.196,270.179,292.04,7.588
20240413,18:46:27,263.76,274.048,293.726,7.637
20240412,20:26:41,250.69,259.634,310.561,13.253
20240413,17:59:34,262.754,269.496,290.171,5.98
20240412,21:32:19,248.905,260.787,293.438,9.92
20240413,18:37:18,283.48,300.657,320.1,9.484
20240413,17:15:24,278.198,291.494,304.189,7.704
20240413,19:25:21,289.033,298.359,318.821,7.174
20240413,18:54:40,282.719,295.132,306.094,4.991
20240412,20:22:19,251.594,260.475,269.522,5.25
20240412,20:14:24,254.992,261.148,276.591,5.601
20240413,19:29:25,279.389,308.579,690.616,90.154
20240413,17:02:29,283.938,290.781,308.978,6.036
20240413,17:39:59,263.654,266.489,271.633,2.464
20240412,19:07:34,258.716,281.598,298.127,11.422
20240412,22:29:24,275.559,285.6,297.524,5.77
