Date,Time,Min,Avg,Max,Mdev
20240412,22:17:05,183.692,195.72,219.949,10.579
20240412,21:32:41,184.735,194.35,208.479,5.667
20240413,19:25:44,191.453,197.53,206.522,4.055
20240412,22:08:29,188.396,195.099,210.456,5.615
20240413,18:50:55,188.357,215.788,224.968,8.905
20240413,19:54:31,183.448,187.187,191.548,2.225
20240413,18:16:40,187.163,210.459,223.895,11.662
20240413,18:04:11,183.084,208.707,466.542,59.432
20240412,19:48:34,188.881,197.694,227.261,8.749
20240412,21:36:46,186.897,195.96,208.252,6.294
20240412,21:28:35,188.361,193.964,202.668,4.124
20240412,22:12:59,184.855,191.141,196.704,3.263
20240412,22:25:34,187.27,202.527,222.61,10.413
20240412,19:32:18,183.289,194.408,236.229,11.695
20240413,19:46:16,205.732,212.3,241.486,8.45
20240412,18:59:11,188.098,192.602,201.479,3.254
20240412,20:38:09,191.303,208.147,236.62,17.422
20240413,17:07:03,191.126,203.616,213.079,5.591
20240412,19:50:05,191.733,202.476,219.19,9.655
20240412,19:40:47,204.866,210.995,222.42,5.136
20240413,18:24:57,208.797,213.922,220.587,2.981
20240413,18:12:30,216.646,233.516,281.988,18.658
20240413,17:44:22,196.606,202.807,221.156,5.789
20240413,17:19:46,194.578,200.377,211.826,4.337
20240413,17:32:15,191.648,195.842,201.693,3.013
20240412,20:14:45,187.567,197.364,212.419,8.31
20240413,19:42:14,210.165,216.753,230.964,5.453
20240413,17:11:40,183.992,224.83,691.653,110.845
20240413,17:02:51,183.667,200.746,232.721,12.872
20240413,19:38:04,205.5,232.971,246.123,12.158
20240413,19:21:26,187.952,200.825,223.646,9.637
20240412,22:33:59,212.641,220.608,235.431,5.33
20240412,20:10:46,189.542,196.295,206.619,4.541
20240413,17:51:41,181.484,192.011,212.943,7.394
20240412,20:50:48,188.384,197.235,219.251,9.792
20240413,19:17:07,182.618,199.086,226.597,13.64
20240413,19:12:17,199.636,209.645,228.373,6.392
20240413,18:55:02,189.921,214.932,247.172,11.361
20240413,19:03:50,182.939,191.142,202.523,5.81
20240412,20:42:17,197.427,203.77,217.315,5.562
20240412,19:47:05,187.653,199.731,252.192,13.982
20240413,18:33:29,179.188,183.942,199.675,4.686
20240412,22:21:20,188.49,206.686,221.828,7.917
20240413,17:59:57,195.495,198.865,203.682,2.65
20240413,18:37:40,195.792,208.347,226.55,9.381
20240413,17:24:07,190.448,201.318,224.678,8.486
20240412,19:07:56,197.226,211.861,240.425,11.109
20240413,19:29:47,200.713,206.934,211.745,3.371
20240413,18:29:12,209.51,215.946,231.739,5.233
20240412,20:46:31,183.86,192.907,202.642,4.408
20240412,20:33:58,205.995,216.107,267.803,13.693
20240412,22:29:46,188.561,195.491,206.528,4.686
20240413,17:28:12,187.58,201.314,249.337,14.152
20240413,17:55:47,188.556,195.146,216.067,6.473
20240413,17:40:21,182.775,198.392,211.639,9.323
20240412,20:54:58,187.629,197.241,211.271,6.719
20240412,20:06:11,192.02,204.663,228.731,9.106
20240412,19:44:19,187.19,191.068,206.533,4.398
20240413,19:33:53,206.883,214.513,224.99,4.761
20240412,19:45:42,186.887,199.501,349.526,36.524
20240412,20:22:41,184.98,196.06,215.244,8.471
20240413,19:08:02,178.55,184.788,193.643,3.796
20240412,19:03:43,208.485,220.633,236.085,7.151
20240413,18:59:29,199.298,204.543,219.901,5.252
20240412,19:33:40,184.443,195.7,214.526,7.789
20240413,19:50:30,191.645,194.723,199.61,2.428
20240412,21:40:56,191.591,207.431,223.715,8.633
20240413,17:15:46,177.101,199.575,254.9,17.814
20240412,22:38:02,203.546,209.794,231.265,6.468
20240412,20:28:18,184.597,194.833,216.251,9.884
20240413,18:46:48,182.616,200.262,207.442,6.631
20240413,18:08:20,199.56,205.415,225.758,5.772
20240413,18:42:13,183.46,189.846,207.383,5.961
20240413,18:20:45,183.435,195.369,207.444,5.211
20240413,17:36:21,184.823,196.22,216.909,7.248
20240412,19:42:55,191.656,209.64,221.609,8.036
