Date,Time,Min,Avg,Max,Mdev
20240413,19:07:29,44.235,48.889,62.935,4.652
20240413,18:58:56,44.448,53.414,66.036,5.822
20240412,20:14:13,31.431,39.57,68.725,8.202
20240412,19:34:29,39.478,46.515,63.5,5.287
20240413,18:16:07,46.832,53.709,67.116,4.824
20240412,20:37:36,48.093,62.751,76.397,7.82
20240413,18:03:39,56.523,68.152,86.406,7.704
20240413,17:51:08,39.181,56.356,82.751,11.731
20240412,21:40:24,42.565,76.663,172.246,38.266
20240412,20:10:13,56.068,70.999,82.855,8.521
20240412,20:05:39,38.605,45.844,64.254,5.817
20240412,23:00:13,43.668,51.859,70.013,6.164
20240413,17:31:43,55.251,60.149,69.118,3.817
20240412,19:31:45,33.86,69.245,302.93,58.551
20240413,17:39:49,43.514,50.082,62.199,4.47
20240413,18:07:47,45.078,54.545,74.047,7.475
20240412,19:07:23,57.734,67.483,86.7,6.472
20240412,21:28:03,33.299,39.915,59.413,6.012
20240412,19:43:46,32.836,39.138,45.313,3.219
20240413,17:35:46,43.475,49.055,70.633,5.683
20240413,19:53:58,65.299,72.707,84.126,4.68
20240412,19:46:31,31.441,43.718,60.424,7.287
20240412,22:25:02,32.242,46.239,74.873,10.216
20240413,17:15:13,54.473,68.573,92.195,7.791
20240413,17:06:28,44.001,54.103,74.601,9.247
20240412,20:22:08,30.425,37.701,51.458,6.041
20240412,20:54:21,32.388,76.403,311.314,61.095
20240412,20:26:31,31.102,39.287,71.31,8.944
20240412,19:33:08,35.028,41.819,51.489,4.722
20240412,18:58:38,46.119,55.522,92.594,10.19
20240413,18:11:57,55.469,59.856,65.518,2.618
20240412,19:03:11,58.979,68.19,77.402,9.211
20240413,17:23:34,54.326,78.195,97.312,12.138
20240412,20:45:59,34.341,43.984,67.359,8.361
20240413,19:03:17,45.829,51.694,88.917,9.035
20240413,19:45:43,50.726,78.374,100.187,12.052
20240413,18:37:07,47.218,74.24,184.968,28.736
20240413,18:24:24,44.253,54.771,67.613,6.654
20240413,17:19:13,66.957,74.602,90.016,5.465
20240412,22:33:26,42.361,66.049,228.309,41.011
20240412,19:40:14,46.498,65.63,135.258,22.325
20240412,22:37:29,50.441,56.087,66.87,4.8
20240412,22:07:57,39.133,51.474,64.217,6.257
20240413,19:25:10,67.322,77.777,92.289,7.566
20240413,17:27:39,44.109,59.804,123.446,18.907
20240412,19:42:22,39.873,49.011,74.658,8.057
20240413,17:55:14,42.828,52.065,87.48,10.627
20240412,20:50:16,27.835,39.903,56.926,7.324
20240413,17:11:07,47.165,65.259,160.5,26.887
20240412,19:45:09,35.94,43.086,54.518,5.093
20240412,22:12:26,30.972,47.912,75.273,11.849
20240413,19:20:53,43.648,54.585,73.899,9.452
20240413,18:54:29,52.696,62.607,71.537,6.876
20240413,18:41:39,51.136,144.183,801.937,164.84
20240412,21:32:08,29.527,38.934,48.567,5.405
20240413,17:02:18,56.51,64.783,71.8,3.834
20240412,20:41:44,44.66,50.321,59.973,4.702
20240412,22:20:47,58.134,68.981,86.801,6.741
20240412,22:16:32,29.028,40.758,56.202,8.421
20240413,19:11:44,42.525,53.771,73.654,8.905
20240413,18:32:56,66.711,79.249,105.419,7.513
20240413,18:28:39,39.997,58.979,133.757,18.985
20240413,19:41:42,65.175,75.833,95.95,8.944
20240413,17:43:50,52.503,60.978,70.159,4.454
20240413,18:20:11,42.468,49.164,91.159,9.956
20240413,19:29:14,65.747,71.57,78.488,3.627
20240413,18:50:23,39.6,46.042,61.104,4.62
20240413,19:37:31,55.284,61.812,71.148,4.834
20240413,19:49:58,66.045,76.142,96.513,7.349
20240412,21:36:14,57.765,69.379,88.079,8.277
20240412,19:47:55,33.464,44.485,62.51,8.323
20240412,19:49:26,31.208,40.854,47.361,3.805
20240413,17:59:24,40.557,51.615,64.52,7.21
20240413,19:16:33,44.458,53.277,80.286,9.904
20240413,18:46:16,43.916,57.035,183.68,29.619
20240413,19:33:21,70.685,83.985,106.335,9.034
20240412,22:29:14,54.307,62.693,76.941,7.046
20240412,20:33:25,39.812,56.528,272.669,49.672
