Date,Time,Min,Avg,Max,Mdev
20240413,19:12:04,120.271,187.216,285.979,48.359
20240413,19:25:31,85.187,106.053,124.505,10.94
20240412,22:33:46,112.581,131.653,165.503,17.663
20240412,19:07:43,87.503,103.786,125.451,9.519
20240413,19:21:13,138.847,780.458,2367.489,687.191
20240412,19:46:52,135.457,164.822,282.135,30.429
20240412,19:45:29,114.353,124.999,132.826,4.441
20240413,19:54:18,88.761,100.419,116.672,7.166
20240412,21:36:34,103.478,119.183,134.592,8.734
20240412,20:37:56,99.751,112.918,126.49,7.445
20240413,19:33:41,92.843,120.974,171.931,25.281
20240412,19:40:34,96.827,194.602,767.483,143.43
20240413,19:03:37,102.659,117.497,131.676,7.498
20240412,20:33:45,93.865,113.105,133.494,9.33
20240412,19:44:06,122.921,145.382,270.028,40.86
20240413,17:51:28,101.797,121.775,156.731,12.8
20240413,19:42:02,91.46,103.216,114.983,5.623
20240412,20:22:28,98.042,117.373,128.133,8.668
20240413,18:20:32,99.284,116.246,192.205,19.209
20240412,18:58:59,88.009,110.253,150.647,13.679
20240412,20:26:51,88.798,112.765,152.12,13.499
20240413,18:33:17,102.826,119.752,137.361,10.202
20240412,20:10:33,87.303,102.521,114.063,6.576
20240412,20:50:36,103.435,128.308,251.275,29.079
20240413,18:46:36,109.812,141.235,179.93,21.703
20240412,22:25:22,102.423,115.309,130.597,7.699
20240412,19:32:05,91.227,114.259,184.473,18.293
20240412,21:32:29,106.982,151.877,189.842,24.402
20240413,17:15:33,116.212,129.428,196.89,16.517
20240413,17:27:59,96.013,110.434,128.042,6.414
20240413,18:03:59,107.506,121.602,132.162,7.364
20240413,17:59:44,106.243,124.688,174.695,14.786
20240413,18:59:16,121.213,183.507,266.163,41.072
20240412,22:16:52,121.031,141.015,200.589,17.861
20240412,22:08:17,100.034,121.72,148.694,11.631
20240412,22:29:34,101.622,118.157,151.562,12.585
20240413,17:11:27,140.843,204.169,295.627,47.118
20240413,19:07:49,95.63,106.835,118.637,6.764
20240413,19:46:04,87.995,103.238,166.405,15.714
20240413,18:54:49,89.488,100.826,113.423,6.334
20240413,18:42:01,94.756,106.9,181.254,17.637
20240413,18:16:27,98.823,107.953,127.026,5.601
20240413,17:02:38,107.123,129.59,197.178,19.539
20240412,20:14:33,94.031,109.921,126.69,8.293
20240413,19:16:54,120.355,150.032,229.777,29.298
20240412,20:54:46,100.402,159.908,788.23,150.97
20240413,17:32:03,99.502,111.461,130.154,7.573
20240412,19:49:47,139.892,155.922,181.074,12.155
20240413,17:55:34,102.493,117.847,143.48,9.507
20240413,17:44:10,101.844,117.706,133.966,8.642
20240412,20:05:59,100.986,113.222,122.751,5.128
20240413,17:06:51,92.735,109.712,118.848,6.23
20240412,21:28:23,109.534,118.045,127.566,5.179
20240412,22:37:50,99.33,143.859,339.218,57.188
20240412,22:21:08,102.985,137.925,165.574,14.805
20240412,19:33:28,91.204,109.645,120.003,7.17
20240412,19:03:31,99.276,110.182,133.136,8.975
20240413,18:08:07,102.199,115.343,135.299,8.55
20240413,17:36:08,100.501,131.62,270.716,39.913
20240413,18:50:43,88.892,123.149,432.558,71.59
20240413,17:19:33,108.676,118.033,125.529,3.967
20240412,20:46:19,106.037,205.344,322.575,64.713
20240413,18:12:17,102.795,128.906,169.575,14.355
20240412,19:42:43,121.229,140.193,230.318,23.225
20240412,20:42:04,122.523,200.21,322.562,60.528
20240413,19:29:35,93.521,104.884,125.621,8.982
20240413,18:29:00,100.658,109.478,124.727,5.376
20240412,19:48:21,112.699,135.045,214.458,20.346
20240412,21:40:44,96.759,115.414,133.996,7.773
20240412,22:12:46,112.065,126.873,138.502,6.712
20240413,18:24:44,99.938,115.879,138.366,8.987
20240413,19:50:18,88.756,103.054,126.622,8.636
20240413,18:37:27,87.9,111.277,135.22,10.351
20240413,19:37:51,81.965,98.2,114.462,8.499
20240413,17:40:09,101.655,122.255,139.654,7.784
20240413,17:23:54,109.769,123.539,145.627,8.303
