Date,Time,Min,Avg,Max,Mdev
20240412,19:44:56,136.873,212.977,284.685,42.556
20240413,18:41:26,111.428,116.282,133.311,4.581
20240412,19:49:14,151.344,190.482,306.293,34.916
20240412,20:05:26,109.374,124.172,137.518,8.69
20240413,19:20:41,128.03,186.245,280.287,41.465
20240412,22:29:01,120.887,133.665,158.519,8.563
20240412,22:12:14,147.589,183.758,218.677,21.986
20240412,19:02:57,105.033,127.674,267.978,32.931
20240412,22:24:49,126.142,151.616,262.511,36.47
20240413,17:43:37,118.033,133.449,148.143,7.972
20240413,19:07:17,110.635,122.675,134.244,6.924
20240412,19:40:02,125.335,161.334,236.187,29.432
20240413,18:28:27,114.847,128.242,169.578,11.352
20240413,19:45:31,110.43,121.624,148.747,8.876
20240413,18:32:44,119.99,129.306,152.343,8.139
20240412,21:27:50,123.332,137.448,151.541,7.259
20240412,19:43:34,130.564,209.758,288.624,45.64
20240413,18:15:54,112.042,130.517,256.439,29.44
20240412,19:46:19,151.005,213.343,304.243,47.632
20240412,19:42:10,161.962,195.525,234.823,23.264
20240413,17:19:01,153.635,220.261,297.816,50.222
20240412,19:51:31,128.259,205.915,530.973,83.202
20240412,19:47:43,149.347,226.647,300.703,44.582
20240413,18:11:44,112.955,165.989,276.84,47.958
20240413,19:29:02,107.244,118.117,125.818,5.42
20240413,17:31:30,114.136,122.437,135.221,5.115
20240412,19:07:11,103.913,120.785,140.398,9.19
20240412,20:45:47,162.31,243.418,340.623,50.186
20240413,19:37:19,115.013,124.264,189.658,15.927
20240412,22:33:14,114.295,133.656,186.794,14.848
20240412,21:31:56,123.882,141.298,218.581,21.336
20240412,21:40:12,119.582,128.726,149.764,6.896
20240413,19:24:57,111.55,138.428,168.743,17.22
20240413,17:02:06,138.019,152.702,219.851,16.212
20240413,17:23:22,121.676,158.159,281.79,44.317
20240413,19:16:21,127.116,198.116,294.546,57.615
20240413,19:53:46,106.7,119.767,169.084,12.936
20240413,19:41:29,102.773,122.804,188.816,17.971
20240412,18:58:26,106.294,115.5,124.109,5.018
20240413,17:27:27,119.401,129.002,141.927,6.356
20240412,22:07:44,124.872,141.793,161.827,9.207
20240413,17:39:36,117.269,132.931,145.346,8.559
20240413,18:03:26,108.868,131.519,149.186,11.129
20240413,18:58:44,126.958,197.04,283.771,49.427
20240412,20:21:56,121.693,146.918,263.152,33.808
20240412,20:37:24,116.912,134.667,151.158,9.368
20240413,19:03:05,148.832,216.404,293.364,49.11
20240412,20:14:01,103.953,110.648,115.169,3.258
20240413,17:59:11,113.995,151.692,398.859,66.523
20240412,20:26:18,108.872,123.804,138.533,8.138
20240412,20:50:04,115.898,165.494,298.167,56.099
20240413,19:49:45,101.993,117.572,129.914,6.628
20240412,21:36:02,119.301,130.967,152.992,9.351
20240413,19:33:09,101.862,111.47,132.688,7.298
20240413,18:19:59,111.93,133.373,197.805,23.353
20240412,20:41:32,117.032,207.525,448.156,75.036
20240413,18:46:03,126.579,157.438,196.644,21.748
20240412,19:32:55,114.505,145.165,199.964,24.304
20240413,18:50:10,130.012,172.74,222.751,24.722
20240413,17:50:55,116.578,132.499,146.151,7.222
20240412,20:54:09,114.441,140.345,244.251,37.934
20240413,18:36:55,105.224,127.863,253.312,30.243
20240413,18:07:34,119.826,148.725,225.783,23.968
20240413,19:11:31,115.071,169.802,278.416,54.032
20240412,22:20:35,136.105,179.817,221.72,23.262
20240413,17:55:02,123.758,134.057,147.84,7.943
20240412,19:31:33,99.342,116.677,126.724,7.381
20240412,22:16:20,137.519,181.235,274.771,31.748
20240412,20:33:12,104.719,118.126,126.632,5.016
20240413,17:06:14,136.567,216.401,662.975,119.534
20240413,18:24:12,111.197,130.215,144.482,9.044
20240412,19:34:17,110.081,122.225,139.293,8.55
20240413,17:10:55,136.092,196.454,310.794,42.355
20240412,22:37:17,123.732,139.114,185.427,17.389
20240412,20:10:00,102.708,154.891,272.092,43.87
20240413,18:54:17,109.142,121.924,134.101,7.215
20240413,17:35:34,116.875,131.009,143.348,8.275
20240413,17:15:01,136.337,148.841,168.216,8.76
