Date,Time,Min,Avg,Max,Mdev
20240412,22:17:14,316.622,414.699,565.886,74.979
20240412,22:21:30,323.326,469.199,601.071,88.87
20240413,18:04:21,273.988,395.301,506.11,65.478
20240413,18:55:12,262.292,365.733,447.987,54.156
20240412,19:08:05,285.344,364.672,447.118,49.287
20240413,19:54:40,287.399,360.987,429.334,43.314
20240412,20:34:07,279.125,354.934,439.641,46.95
20240412,19:47:14,306.218,417.078,681.715,107.008
20240413,18:12:40,282.153,363.118,441.224,45.674
20240413,18:25:06,380.152,483.385,601.531,68.665
20240412,19:40:57,316.015,444.727,951.974,147.269
20240413,19:25:53,281.991,395.692,563.049,87.223
20240412,22:25:44,298.121,367.826,441.576,48.783
20240413,19:17:16,310.048,420.517,584.633,91.834
20240412,19:03:52,263.609,349.299,451.395,51.708
20240412,20:06:21,288.135,356.672,433.681,45.387
20240412,19:45:51,296.848,365.946,449.67,44.678
20240412,19:43:04,286.751,453.91,1090.546,202.935
20240413,18:37:49,279.783,343.725,423.15,44.077
20240412,20:29:44,260.772,334.935,490.859,64.71
20240413,17:40:30,293.681,362.415,476.979,51.069
20240413,18:20:54,293.034,383.49,480.397,46.592
20240413,17:03:00,307.844,382.615,532.779,56.923
20240412,22:34:08,304.485,439.423,577.648,94.882
20240413,17:24:17,278.328,359.331,431.86,50.8
20240413,19:12:29,317.053,421.667,567.529,75.057
20240413,17:32:24,266.059,368.585,544.35,65.879
20240413,17:11:49,319.133,444.192,600.802,91.928
20240412,19:32:27,288.864,361.295,443.589,47.618
20240413,19:46:25,268.56,331.107,410.463,48.517
20240413,18:51:05,285.184,339.905,424.8,44.559
20240413,18:16:49,290.2,369.436,442.405,48.924
20240412,20:46:41,292.528,423.274,573.812,72.329
20240413,19:21:36,319.219,511.776,1234.397,215.733
20240413,18:33:38,262.59,359.08,448.302,52.586
20240413,18:42:23,287.552,343.545,434.251,38.16
20240413,17:07:12,283.554,353.285,443.635,50.383
20240413,19:38:16,262.748,359.235,444.101,50.562
20240413,18:46:58,296.737,330.909,373.121,23.738
20240413,18:29:22,286.54,364.359,442.124,48.434
20240413,17:36:30,289.281,348.315,450.42,49.071
20240412,19:33:50,282.066,345.188,431.932,47.649
20240413,17:15:55,316.627,387.361,479.276,47.259
20240412,20:55:07,290.112,371.96,445.774,45.499
20240412,20:14:54,288.152,362.676,441.487,44.725
20240412,21:32:50,322.338,388.847,472.823,48.625
20240413,17:44:31,265.476,347.511,444.493,53.036
20240413,17:51:50,287.641,411.09,520.713,73.171
20240412,19:48:44,309.035,418.77,567.179,92.574
20240412,19:50:14,288.329,365.764,496.739,53.372
20240413,17:28:21,297.855,373.838,441.966,43.811
20240413,18:00:06,291.762,360.384,435.345,42.755
20240412,22:38:11,286.756,464.588,983.969,195.366
20240412,20:42:26,307.889,390.722,520.704,59.948
20240412,20:38:18,288.617,366.221,461.717,50.928
20240413,19:42:24,280.508,349.689,431.564,45.967
20240412,19:44:28,302.611,374.553,445.353,42.637
20240413,17:19:55,300.126,374.343,484.354,56.632
20240412,21:36:56,288.602,366.423,443.816,49.2
20240412,21:41:06,284.657,352.073,445.082,47.741
20240413,19:04:00,288.018,361.809,439.896,44.989
20240412,22:29:55,294.194,320.148,391.811,23.409
20240412,18:59:20,260.031,357.288,442.209,48.565
20240412,22:13:08,310.482,376.054,681.744,85.278
20240412,20:50:57,284.097,363.907,433.875,46.906
20240412,21:28:45,287.405,364.971,437.057,44.048
20240413,19:34:03,277.374,351.118,435.328,41.802
20240412,20:22:50,295.271,375.389,446.112,47.372
20240413,18:59:39,283.433,339.315,454.944,51.109
20240413,19:50:39,267.407,359.73,434.279,43.068
20240413,19:29:56,257.662,346.514,428.94,55.833
20240413,18:08:30,281.348,424.827,1105.7,219.432
20240412,20:10:55,266.303,352.76,441.522,49.224
20240413,17:55:57,282.19,355.918,435.516,52.204
20240412,22:08:39,289.255,361.585,439.534,44.841
20240413,19:08:11,286.079,360.829,429.223,43.847
