Date,Time,Min,Avg,Max,Mdev
20240413,19:45:53,224.726,301.331,402.01,49.522
20240413,17:31:52,232.134,301.179,381.86,45.673
20240413,18:20:21,230.934,324.874,406.138,49.309
20240412,20:37:46,233.937,350.027,557.754,91.572
20240413,17:39:58,226.217,309.57,407.904,50.014
20240412,19:33:17,237.932,292.823,376.296,43.658
20240412,21:28:12,253.729,331.256,429.154,47.904
20240412,22:20:57,257.862,324.932,413.183,46.901
20240413,17:51:17,225.048,309.394,413.241,50.85
20240413,17:27:48,240.484,308.868,389.563,47.894
20240413,19:33:30,227.812,300.893,378.497,39.039
20240412,19:48:10,268.058,385.02,559.182,101.25
20240413,19:50:07,230.846,303.272,377.252,44.157
20240413,18:07:56,247.891,330.628,408.194,46.331
20240413,19:07:38,224.225,310.598,404.439,52.864
20240413,17:06:39,253.77,425.247,1006.122,169.137
20240412,19:42:32,262.484,351.98,440.348,52.109
20240412,19:34:39,245.503,334.555,432.772,54.386
20240412,20:14:22,240.143,324.198,406.183,45.811
20240412,22:37:39,242.343,284.17,322.656,24.029
20240413,19:41:51,228.325,303.351,391.883,42.474
20240413,17:23:43,239.791,326.596,422.187,46.889
20240413,19:37:40,232.186,298.196,371.172,39.051
20240412,20:26:40,252.549,325.445,416.337,46.852
20240412,19:43:56,263.292,337.791,408.072,43.029
20240412,22:33:36,245.682,387.898,543.46,84.212
20240412,20:46:08,260.516,358.073,464.78,59.253
20240413,18:24:33,236.752,309.693,389.454,48.204
20240412,22:08:06,259.155,321.005,401.342,46.787
20240412,20:22:17,240.755,316.836,391.946,48.396
20240413,18:33:06,239.727,302.211,380.927,43.067
20240412,20:54:31,249.988,327.741,413.944,48.567
20240412,18:58:47,232.283,337.662,619.024,94.722
20240412,20:50:25,250.165,336.728,396.669,45.958
20240412,20:10:22,224.43,305.53,391.706,42.884
20240412,19:07:32,229.329,297.011,380.686,44.982
20240413,17:19:22,258.7,334.874,416.976,50.719
20240413,19:54:07,234.537,304.497,405.921,48.837
20240412,20:33:34,244.943,315.632,393.3,47.646
20240413,18:16:16,238.926,318.26,402.371,48.875
20240413,19:21:02,271.011,379.214,562.813,89.75
20240412,22:25:11,234.91,309.86,410.417,49.476
20240412,19:49:36,263.098,406.2,561.925,99.951
20240412,21:32:18,261.209,319.842,393.636,44.663
20240413,17:02:28,272.363,340.648,423.606,44.92
20240412,22:29:23,241.49,314.938,386.651,44.521
20240412,19:31:54,237.131,323.264,397.826,49.342
20240412,19:45:18,258.899,333.183,412.428,48.775
20240413,18:37:17,232.329,312.973,393.66,44.451
20240413,19:25:19,230.544,328.482,698.317,98.911
20240412,20:05:48,246.97,314.645,406.399,50.134
20240412,21:40:33,246.204,325.642,399.511,47.212
20240413,19:11:53,252.639,379.169,546.489,103.876
20240413,17:55:23,245.729,315.699,396.323,46.138
20240412,21:36:23,238.19,403.356,592.625,78.272
20240413,17:35:56,254.913,435.464,997.376,194.055
20240413,19:16:43,275.515,426.688,593.312,102.257
20240413,19:03:27,237.531,327.284,413.006,52.925
20240412,22:16:41,273.66,310.386,353.239,24.289
20240413,17:43:59,243.59,316.434,393.734,47.69
20240412,22:12:35,249.17,287.061,325.692,23.564
20240413,17:15:22,236.799,328.919,404.931,50.644
20240413,19:29:23,237.513,302.08,461.173,56.209
20240412,20:41:53,290.976,384.012,474.479,51.218
20240413,17:11:16,273.843,354.421,464.307,58.194
20240413,18:54:39,240.621,316.821,415.571,50.675
20240413,17:59:33,251.431,329.862,406.353,46.158
20240413,18:28:49,245.244,323.617,397.151,49.0
20240413,18:50:32,230.397,278.021,331.174,26.386
20240413,18:03:48,229.053,376.794,481.28,72.27
20240413,18:12:06,246.893,348.543,569.127,90.078
20240413,18:46:25,246.656,287.195,322.062,23.49
20240413,18:59:06,241.001,308.45,500.663,56.711
20240412,19:46:41,271.382,396.011,572.113,100.365
20240413,18:41:49,227.81,307.079,423.994,52.678
20240412,19:03:20,218.176,299.076,378.378,46.674
20240412,19:40:23,238.401,303.931,414.425,47.539
