Date,Time,Min,Avg,Max,Mdev
20240412,20:14:11,216.129,295.098,358.024,36.695
20240412,21:36:12,198.784,233.86,465.08,53.709
20240412,22:37:28,217.693,253.164,294.732,22.221
20240413,19:53:57,211.732,283.862,359.293,45.886
20240412,20:54:20,215.627,310.191,391.184,48.22
20240413,18:46:14,215.063,253.795,291.48,23.795
20240413,17:15:11,239.925,318.291,384.72,45.625
20240413,19:29:13,207.936,282.848,378.884,46.853
20240412,19:42:21,221.145,345.695,554.48,97.523
20240412,19:49:25,234.18,394.101,563.884,99.096
20240413,18:41:37,211.768,283.511,360.858,44.677
20240413,18:11:55,206.906,287.133,378.8,52.432
20240413,17:06:26,224.215,404.217,1169.951,231.419
20240412,22:33:24,235.094,314.082,528.795,77.013
20240413,18:16:05,218.154,297.35,401.683,51.453
20240413,18:32:55,222.083,287.562,357.769,41.143
20240412,22:25:00,232.326,311.139,396.902,48.275
20240413,18:20:10,207.393,275.563,358.009,49.806
20240413,19:37:30,211.563,288.357,367.179,45.856
20240412,22:29:12,218.416,283.998,374.78,46.156
20240413,19:20:52,245.173,326.788,400.961,48.697
20240412,21:32:07,213.443,284.285,366.387,47.895
20240413,18:28:38,217.146,292.108,374.12,48.859
20240413,18:54:28,206.802,274.259,365.383,47.443
20240413,19:41:40,209.021,287.154,356.536,47.251
20240412,19:46:30,237.319,341.69,530.0,92.026
20240413,17:39:47,204.1,221.399,264.175,12.392
20240413,18:24:23,219.764,301.312,368.654,45.328
20240413,18:03:37,207.5,227.71,269.641,13.525
20240413,17:19:12,233.278,287.804,397.129,48.942
20240413,17:31:41,204.336,208.646,214.649,2.712
20240413,17:43:48,212.967,256.136,366.248,48.966
20240412,19:47:54,240.489,773.187,2632.561,931.448
20240413,17:27:38,218.11,285.288,376.511,49.53
20240412,20:10:11,210.714,283.472,373.26,46.445
20240412,19:33:06,202.207,305.771,397.112,58.626
20240413,19:03:16,226.093,285.558,453.4,56.694
20240412,20:50:14,226.031,300.826,383.41,45.947
20240413,19:45:42,192.708,264.763,348.33,51.782
20240412,19:45:07,221.532,294.448,377.797,48.521
20240413,17:55:13,211.271,223.836,240.306,6.721
20240412,19:43:45,239.166,309.534,392.869,47.858
20240412,20:26:29,222.992,306.278,377.806,46.549
20240413,17:02:17,230.826,289.103,385.314,46.811
20240412,21:28:01,214.781,266.873,599.08,86.437
20240412,22:16:31,236.967,278.975,320.859,26.51
20240412,22:12:24,236.202,273.35,310.03,22.469
20240412,20:33:24,206.683,279.891,349.257,42.559
20240412,22:20:46,241.793,302.324,381.968,43.138
20240412,19:07:22,213.974,286.46,366.366,48.668
20240413,17:35:45,215.598,287.466,400.049,61.263
20240413,19:16:32,231.37,353.297,516.761,85.405
20240413,19:07:27,211.437,296.641,366.935,45.185
20240412,19:40:13,213.733,335.264,504.287,89.963
20240412,20:41:42,241.067,316.924,412.982,49.066
20240413,17:23:33,219.636,283.52,364.469,41.816
20240412,22:07:55,217.631,269.299,395.075,56.336
20240412,21:40:22,223.08,297.796,376.749,47.947
20240412,19:34:28,215.894,289.593,375.354,48.565
20240413,18:37:06,201.698,273.786,344.89,41.981
20240413,17:51:06,204.043,241.158,375.356,41.613
20240413,19:25:09,208.008,298.297,519.757,83.639
20240412,20:37:35,222.524,352.447,512.124,93.192
20240412,19:31:43,204.404,266.683,348.985,50.219
20240413,18:58:54,217.596,276.432,368.498,46.187
20240413,19:33:19,201.603,274.534,363.032,48.355
20240413,19:49:56,207.671,299.615,374.248,51.407
20240413,17:59:22,208.752,286.567,379.217,49.495
20240412,18:58:37,195.98,266.489,352.472,54.859
20240413,19:11:42,225.252,337.283,577.84,96.871
20240412,20:22:07,227.54,304.531,372.306,44.945
20240412,19:03:09,200.934,262.221,366.917,46.882
20240412,20:05:37,218.981,296.328,367.519,42.809
20240413,18:50:21,217.062,252.713,288.229,22.7
20240413,17:11:06,246.514,304.329,386.581,41.348
20240412,20:45:57,241.958,342.26,424.478,52.994
20240413,18:07:45,201.976,293.958,710.551,125.799
