Date,Time,Min,Avg,Max,Mdev
20240413,19:29:46,30.371,51.736,70.479,9.017
20240412,22:21:19,71.653,86.27,102.287,8.666
20240412,21:36:45,38.376,57.566,71.403,7.704
20240413,17:59:55,46.542,62.255,72.361,5.702
20240412,20:50:47,35.732,55.139,86.129,14.554
20240412,20:14:44,28.874,43.974,60.982,9.338
20240413,17:24:06,49.485,65.937,80.966,10.003
20240413,17:40:20,46.352,61.233,81.686,8.856
20240412,22:29:45,41.581,62.691,143.837,19.303
20240413,19:25:43,30.264,39.789,49.257,4.8
20240413,18:12:28,52.015,100.765,559.263,110.013
20240412,22:33:57,43.914,71.238,99.096,13.748
20240413,17:02:50,63.122,75.946,96.378,9.399
20240413,17:32:14,43.297,52.251,62.465,4.849
20240413,19:42:13,34.711,48.239,65.011,9.722
20240412,20:54:57,34.319,46.836,57.64,6.256
20240412,20:06:10,38.366,49.677,78.052,8.991
20240412,21:40:55,44.419,55.241,68.461,6.244
20240413,19:50:29,31.31,44.869,56.237,7.735
20240413,17:51:39,46.971,67.83,123.481,20.407
20240412,22:17:03,64.192,93.039,181.637,23.319
20240412,18:59:10,16.786,32.373,49.194,7.809
20240413,18:42:12,47.292,92.798,165.512,34.217
20240413,17:07:01,47.367,62.468,75.238,7.348
20240413,19:21:25,59.114,140.071,352.02,92.481
20240412,19:44:17,51.073,58.782,72.973,5.699
20240412,20:42:15,36.425,83.842,121.636,22.315
20240413,19:46:15,31.728,42.29,60.742,7.889
20240412,20:38:07,28.073,51.607,110.854,19.197
20240413,18:04:10,42.773,56.65,69.466,6.794
20240413,17:28:10,45.667,54.291,63.866,5.255
20240412,22:12:57,50.707,98.345,248.833,50.72
20240412,20:46:30,57.717,92.711,136.775,24.16
20240412,19:33:39,29.819,43.711,56.661,7.603
20240412,20:10:44,26.17,36.336,48.572,6.778
20240412,20:33:56,29.367,44.63,59.975,7.775
20240412,21:32:39,47.631,87.519,122.993,22.513
20240412,19:42:53,56.346,68.801,83.558,8.11
20240413,17:55:46,48.997,64.609,135.595,16.952
20240413,17:15:44,74.563,137.069,238.544,46.503
20240413,18:46:47,53.953,90.259,129.256,23.592
20240413,18:33:27,40.271,55.028,77.57,9.976
20240413,18:20:43,42.795,55.196,74.72,7.793
20240413,19:54:29,34.835,44.517,55.222,5.383
20240413,19:17:05,63.876,88.9,167.223,23.48
20240413,18:08:19,37.543,114.757,699.204,166.159
20240413,18:16:38,44.309,60.241,149.904,21.382
20240413,17:44:21,45.772,60.415,70.99,7.304
20240412,19:47:03,67.302,114.608,463.931,84.289
20240413,19:12:15,63.909,148.361,456.38,99.429
20240413,19:33:52,43.561,54.063,77.444,8.255
20240413,18:24:55,39.941,54.843,73.59,8.28
20240412,19:07:54,21.581,42.779,64.506,10.295
20240412,22:25:33,50.058,63.355,82.108,8.842
20240413,19:08:00,33.873,53.209,68.082,9.458
20240412,22:08:28,50.645,76.754,169.392,26.5
20240413,18:59:28,61.915,112.806,205.406,42.346
20240412,19:32:16,27.922,40.69,60.8,8.473
20240412,19:50:04,50.516,100.522,223.791,47.57
20240413,18:37:38,44.72,62.019,150.46,21.445
20240413,18:55:01,36.827,50.306,67.863,7.597
20240413,19:38:02,30.807,41.812,106.783,15.467
20240413,17:19:44,53.552,69.045,82.891,6.356
20240412,22:38:01,38.376,80.564,273.844,54.192
20240412,19:03:41,19.292,40.532,57.913,9.49
20240412,19:40:45,45.475,100.224,611.579,129.346
20240413,19:03:49,45.597,64.217,75.874,7.638
20240413,17:36:19,69.642,132.317,219.373,50.246
20240412,20:22:39,39.386,53.805,84.558,12.354
20240413,18:29:11,42.351,54.791,111.209,14.218
20240412,20:28:17,30.493,36.879,49.008,5.077
20240412,19:48:32,48.769,123.833,382.146,77.565
20240412,21:28:34,41.853,52.94,67.174,7.193
20240413,18:50:54,37.707,49.9,66.084,8.053
20240412,19:45:40,47.94,62.114,74.947,7.165
20240413,17:11:38,91.628,133.404,217.595,37.04
