Date,Time,Min,Avg,Max,Mdev
20240412,21:36:48,93.397,104.632,119.22,6.594
20240412,19:40:48,91.073,106.528,116.735,6.297
20240413,17:02:53,85.468,111.778,135.474,10.63
20240413,17:32:17,90.225,98.647,111.068,6.492
20240413,18:12:32,93.6,121.75,214.651,33.571
20240413,17:24:09,93.448,108.609,133.594,11.628
20240413,19:29:49,96.995,105.965,121.725,6.303
20240413,18:08:22,93.857,108.958,143.759,13.565
20240412,22:13:00,98.213,109.505,130.181,7.892
20240412,19:03:45,88.855,95.548,106.197,4.501
20240412,19:47:07,87.562,100.846,108.724,5.681
20240413,19:33:55,94.581,155.434,244.516,53.843
20240413,18:29:14,108.188,119.568,134.404,6.254
20240412,19:33:42,93.996,108.918,130.901,7.926
20240413,17:51:42,101.899,110.697,129.645,6.88
20240413,19:42:16,111.25,185.24,284.252,55.763
20240413,19:54:33,94.317,104.73,120.139,6.682
20240412,20:38:10,95.283,107.604,123.131,7.3
20240412,22:17:06,105.992,181.084,335.228,58.966
20240412,22:25:36,89.473,100.328,113.304,6.344
20240413,19:25:46,94.105,106.091,133.229,8.773
20240413,19:21:28,111.06,123.004,135.929,7.574
20240412,19:07:57,93.804,103.684,117.72,5.608
20240412,19:44:20,87.706,97.365,115.132,6.233
20240412,18:59:13,87.367,96.683,120.026,7.85
20240413,17:07:05,84.781,93.444,100.9,4.181
20240413,17:15:47,92.874,103.661,118.345,5.567
20240413,17:40:23,90.009,98.638,109.996,4.818
20240412,19:42:57,88.303,100.419,124.791,8.539
20240413,18:04:13,107.661,116.583,134.395,6.95
20240412,20:42:18,91.771,106.888,124.574,7.972
20240413,17:11:41,83.706,97.026,109.534,5.911
20240412,22:38:04,108.28,123.42,176.042,14.173
20240413,18:33:31,111.006,124.065,138.491,6.742
20240412,22:08:31,106.24,119.454,141.268,7.736
20240413,18:37:42,109.132,125.916,147.43,8.648
20240412,20:22:42,83.385,91.87,108.443,6.427
20240413,18:20:47,86.722,98.691,106.204,5.449
20240412,22:29:48,89.33,103.907,128.331,9.104
20240412,19:48:35,88.38,101.177,124.172,8.724
20240413,17:36:23,85.577,96.288,102.039,4.233
20240413,19:12:19,98.328,412.469,1744.309,439.269
20240412,22:21:22,91.504,171.824,247.773,48.563
20240412,20:06:13,82.123,101.997,158.261,16.928
20240413,17:19:48,84.117,94.409,104.68,5.682
20240412,21:32:43,95.747,106.351,122.462,6.983
20240413,19:50:32,92.86,100.347,108.016,4.11
20240412,19:45:43,92.956,103.73,122.326,7.857
20240413,18:24:58,118.986,131.74,139.34,5.033
20240413,18:55:04,105.905,124.614,141.522,9.361
20240413,18:46:50,93.419,105.382,120.391,7.018
20240412,20:46:33,122.582,139.052,151.819,7.036
20240412,19:50:07,84.125,93.68,110.573,6.938
20240413,17:59:59,88.862,98.952,122.533,7.851
20240413,17:55:49,94.222,108.459,118.559,5.819
20240413,18:42:15,113.59,127.196,138.706,6.379
20240413,19:08:04,103.242,114.475,124.879,6.088
20240413,18:59:31,109.076,149.955,200.844,31.67
20240413,18:50:57,100.253,112.788,128.128,7.042
20240413,19:17:08,106.042,116.0,124.758,4.88
20240413,17:28:14,88.455,97.374,107.529,5.293
20240413,19:38:06,95.755,105.112,144.414,11.639
20240413,19:03:52,99.249,117.578,161.22,12.94
20240412,20:14:47,92.256,109.197,127.238,7.594
20240412,20:55:00,94.656,102.835,115.938,5.52
20240412,21:28:37,91.581,118.052,453.059,77.08
20240412,20:10:47,89.639,106.383,123.617,8.829
20240413,18:16:42,98.499,114.746,133.864,9.224
20240412,20:33:59,88.72,105.149,131.579,8.852
20240412,19:32:20,86.938,93.546,124.019,7.779
20240413,19:46:18,94.409,110.078,136.13,9.944
20240412,20:50:50,96.892,104.508,113.67,5.411
20240412,22:34:00,90.03,98.999,113.802,6.775
20240412,21:40:58,102.493,111.979,138.403,10.213
20240413,17:44:24,90.378,98.385,106.273,4.958
20240412,20:28:20,94.806,117.409,245.195,31.885
