Date,Time,Min,Avg,Max,Mdev
20240413,17:11:09,117.597,126.536,135.854,4.416
20240412,19:33:09,113.034,130.704,163.119,10.298
20240413,17:02:20,128.296,140.327,155.97,7.161
20240413,18:37:09,140.116,151.538,164.985,7.256
20240413,17:15:15,119.903,128.141,145.692,5.732
20240412,19:43:48,113.245,122.71,145.616,7.504
20240413,18:50:24,113.919,126.993,146.648,7.661
20240413,18:16:08,117.989,173.848,689.48,121.488
20240412,22:33:28,121.027,128.722,139.193,5.303
20240412,21:40:25,122.422,133.51,152.258,8.915
20240413,17:39:50,109.404,120.333,139.752,6.756
20240412,20:37:38,124.866,148.112,172.175,12.05
20240413,17:06:29,111.726,119.143,133.598,6.528
20240412,21:36:16,125.312,134.066,149.086,6.804
20240413,18:03:41,128.41,141.114,158.559,7.44
20240413,19:37:33,130.902,216.131,301.309,54.842
20240413,17:19:15,109.23,237.549,1439.921,331.085
20240413,19:45:45,117.234,126.861,138.568,5.809
20240412,19:03:12,108.115,117.156,127.604,5.185
20240413,17:23:36,117.301,131.185,155.155,11.048
20240412,20:50:18,120.229,129.979,142.157,5.124
20240412,22:07:58,131.581,155.907,309.613,35.987
20240412,18:58:40,106.122,118.868,135.909,6.212
20240413,19:33:23,118.779,150.435,267.358,41.634
20240412,20:54:23,122.318,140.079,174.922,13.021
20240413,18:32:58,126.281,147.586,157.741,7.051
20240412,21:28:04,119.739,132.305,152.203,7.304
20240412,20:41:46,115.795,129.822,146.61,7.886
20240413,19:16:35,137.951,151.74,173.767,8.482
20240413,19:49:59,119.903,128.589,169.18,9.811
20240412,19:46:33,112.873,149.801,414.384,62.427
20240413,19:11:45,118.355,128.624,162.81,10.305
20240413,18:54:31,114.751,124.815,137.397,5.392
20240412,19:49:28,106.329,116.14,132.548,6.448
20240412,19:40:16,113.758,132.469,157.515,10.11
20240412,20:46:00,150.905,166.371,186.473,9.657
20240413,19:07:31,123.605,134.426,145.659,5.391
20240413,17:27:41,113.725,120.565,144.798,6.801
20240412,22:25:03,124.633,207.631,303.364,58.988
20240413,17:43:51,113.728,123.199,135.792,5.041
20240413,19:20:55,126.576,140.121,160.752,9.473
20240412,22:12:28,125.432,132.635,151.63,6.195
20240413,18:58:58,141.485,178.701,215.601,27.673
20240412,19:34:31,120.406,133.778,161.844,10.337
20240412,19:07:25,110.94,127.129,143.529,8.163
20240412,20:05:40,109.343,122.168,143.493,9.279
20240412,22:16:34,138.031,150.047,183.894,9.217
20240413,17:55:16,120.294,153.528,280.173,50.416
20240413,19:25:12,126.346,144.419,168.38,9.898
20240413,18:28:41,134.336,149.758,165.113,6.97
20240412,19:45:10,111.958,126.348,142.406,9.129
20240412,19:42:24,110.789,122.165,142.282,7.189
20240412,22:29:15,120.233,126.998,136.601,4.569
20240412,21:32:10,123.345,137.208,153.085,10.299
20240413,18:46:18,122.712,130.534,140.047,4.061
20240412,20:26:32,114.736,130.872,143.625,8.199
20240413,18:07:48,115.747,151.473,401.32,60.262
20240413,18:41:40,129.821,145.942,165.85,8.577
20240413,18:20:13,114.923,123.824,145.313,7.6
20240412,19:47:57,123.827,142.601,187.447,15.124
20240413,19:29:16,118.045,126.355,140.629,5.973
20240412,20:33:27,118.216,137.127,157.556,10.33
20240412,19:31:47,113.689,123.377,133.241,6.216
20240413,17:51:10,117.529,134.743,147.724,7.295
20240412,20:10:14,109.846,129.36,149.375,10.233
20240413,19:54:00,125.435,135.523,149.11,6.954
20240413,18:11:59,141.32,222.234,318.227,54.804
20240412,20:22:10,105.416,115.877,126.796,5.784
20240412,20:14:14,112.476,132.669,148.918,8.695
20240412,22:20:49,122.082,150.81,278.061,30.543
20240413,19:41:43,137.036,217.947,285.031,44.295
20240413,17:35:48,111.112,123.622,140.919,7.713
20240413,17:31:45,110.073,118.814,130.398,4.633
20240413,18:24:26,139.914,151.951,166.367,8.175
20240413,19:03:19,132.299,140.849,151.462,5.167
20240413,17:59:25,112.63,125.216,141.417,8.672
20240412,22:37:31,141.951,150.152,161.834,5.902
