Date,Time,Min,Avg,Max,Mdev
20240412,19:42:13,270.774,287.033,308.285,10.975
20240412,19:51:34,277.359,308.453,662.047,81.65
20240413,19:25:01,279.697,351.564,558.518,95.452
20240412,21:40:15,273.069,284.865,302.543,6.766
20240412,19:49:17,261.646,277.301,316.551,10.52
20240412,22:29:04,273.968,284.491,296.455,6.348
20240413,18:11:48,274.435,395.717,838.316,111.788
20240413,18:32:47,282.49,439.362,568.364,94.666
20240412,19:47:46,271.058,295.865,493.842,46.083
20240413,17:39:40,262.307,273.972,284.518,6.81
20240412,19:34:20,269.03,355.012,559.182,92.924
20240413,19:11:35,276.75,291.624,314.775,9.864
20240412,22:37:20,287.532,424.595,561.428,91.855
20240413,17:06:18,269.324,280.615,299.426,7.923
20240413,18:03:30,273.84,409.472,550.833,91.438
20240412,19:40:05,269.668,405.248,556.951,89.771
20240413,19:20:44,286.474,306.4,498.517,44.699
20240413,19:33:12,286.059,371.378,502.48,61.925
20240412,21:31:59,280.296,290.591,307.006,6.76
20240413,17:35:37,270.158,280.457,304.008,7.612
20240413,18:54:20,271.15,282.702,298.586,8.103
20240413,17:50:59,267.39,408.082,550.548,100.438
20240412,22:07:47,285.673,422.363,555.978,90.311
20240413,17:31:34,268.712,277.29,294.328,5.858
20240412,22:16:23,275.032,383.703,566.303,79.354
20240413,18:46:07,268.66,280.441,290.978,5.727
20240412,19:32:58,267.923,393.318,569.677,97.851
20240413,19:41:33,294.71,368.775,447.09,49.288
20240413,19:29:05,269.791,280.582,299.682,6.281
20240412,20:26:21,275.036,406.588,558.882,94.681
20240413,17:59:15,266.739,278.81,294.216,7.863
20240413,17:02:09,276.298,416.409,578.955,93.844
20240413,18:20:03,267.526,281.002,302.205,8.936
20240412,20:41:35,279.764,415.457,552.096,92.725
20240413,18:24:15,294.518,314.561,344.631,11.177
20240412,22:20:38,278.607,294.78,314.79,9.141
20240412,22:41:29,278.676,436.795,584.581,89.919
20240413,17:10:58,271.296,279.841,302.486,6.947
20240412,21:27:54,282.084,292.665,304.825,5.976
20240413,17:23:25,264.521,275.324,288.122,6.6
20240412,20:21:59,261.801,272.33,286.976,6.616
20240413,19:16:24,291.109,299.726,318.001,8.802
20240412,19:43:37,269.222,283.955,320.62,13.964
20240412,22:24:52,289.732,380.164,559.556,61.628
20240413,17:43:41,269.261,279.555,289.938,5.448
20240413,19:07:20,284.232,300.516,316.779,8.296
20240412,19:44:59,274.959,284.556,303.331,7.459
20240413,19:49:49,289.605,369.261,445.542,49.842
20240412,21:36:05,273.699,287.759,306.152,7.529
20240413,18:15:58,291.611,392.293,701.683,99.064
20240412,18:58:29,274.966,346.449,437.85,45.015
20240412,20:54:12,283.911,297.689,324.11,10.63
20240413,18:50:14,274.868,298.763,358.192,19.002
20240413,18:58:47,309.842,347.94,372.171,15.897
20240413,18:36:58,279.769,424.5,579.965,102.544
20240413,19:45:34,272.042,286.873,312.692,9.693
20240412,22:33:17,270.615,282.675,297.816,6.199
20240412,20:14:04,260.695,273.371,294.703,8.529
20240413,18:41:29,285.936,418.912,562.901,91.606
20240412,19:31:36,265.558,322.807,429.338,59.024
20240412,20:50:07,273.32,283.533,296.585,5.764
20240412,19:07:14,282.28,342.013,414.983,43.435
20240413,19:53:49,282.834,303.022,494.65,44.595
20240413,19:03:08,280.811,296.137,319.493,10.201
20240412,20:45:50,312.876,321.331,333.748,5.545
20240413,19:37:22,277.043,357.486,431.108,48.01
20240412,20:37:27,267.926,401.432,589.474,101.977
20240412,20:05:29,275.82,323.271,369.264,28.445
20240413,17:19:04,263.666,273.155,286.336,6.418
20240413,17:27:30,264.022,277.351,292.637,7.386
20240413,17:55:05,282.368,352.97,426.157,43.14
20240412,19:03:00,270.86,353.388,573.826,104.942
20240413,17:15:04,272.625,283.933,298.929,7.836
20240413,18:07:37,272.008,408.879,569.24,98.664
20240412,20:10:04,273.196,411.14,578.303,96.419
20240412,22:12:17,286.958,304.074,340.466,11.916
20240412,20:33:16,271.246,405.859,573.981,101.385
20240412,19:46:22,274.345,290.988,305.762,8.797
20240413,18:28:30,276.403,400.917,559.214,97.478
