Date,Time,Min,Avg,Max,Mdev
20240412,19:48:24,219.693,241.46,269.815,10.103
20240413,19:16:57,244.171,257.12,269.425,6.95
20240413,19:54:22,234.141,242.125,253.365,5.103
20240412,19:44:10,229.028,240.03,255.651,8.544
20240413,18:54:53,248.149,376.236,565.406,100.884
20240413,18:37:31,252.867,384.871,545.979,95.148
20240413,17:36:11,229.145,237.699,260.592,7.016
20240413,17:23:58,242.285,272.32,471.321,47.161
20240413,18:33:20,247.523,399.235,564.957,101.386
20240413,17:02:42,227.515,337.368,536.771,98.478
20240413,19:42:05,243.614,317.332,394.194,47.694
20240412,22:33:50,231.583,242.313,254.253,6.23
20240413,17:32:06,227.838,250.17,433.952,42.805
20240413,17:11:31,230.545,240.132,253.837,6.367
20240412,20:54:49,232.737,241.343,250.756,5.168
20240412,19:45:32,234.29,244.443,255.997,6.685
20240412,20:22:32,223.314,231.781,243.378,5.456
20240413,18:42:04,248.124,404.926,583.231,98.492
20240413,19:21:17,249.738,455.13,1658.137,355.446
20240412,22:08:20,246.983,392.2,546.776,95.631
20240412,19:46:55,225.485,239.72,252.388,6.131
20240413,17:40:12,228.801,241.036,254.478,7.007
20240413,17:51:31,233.48,323.99,540.767,84.43
20240412,20:10:36,225.663,235.656,257.39,7.31
20240412,21:36:37,235.864,246.918,258.641,6.067
20240413,19:25:35,234.542,274.975,507.37,71.887
20240413,18:24:48,262.291,273.896,287.421,6.682
20240413,19:29:38,232.634,249.784,311.225,16.078
20240413,18:04:02,246.222,378.048,533.14,95.633
20240412,19:40:37,239.954,382.115,555.58,98.919
20240413,18:16:30,233.012,367.999,556.119,115.823
20240412,22:29:37,232.792,245.479,264.378,8.713
20240412,20:42:07,224.908,316.212,509.565,88.283
20240412,21:40:47,229.608,247.166,256.54,6.702
20240413,19:03:41,235.15,243.864,256.644,4.928
20240413,19:46:07,240.193,306.075,375.511,39.888
20240413,18:50:46,237.338,254.205,277.477,9.969
20240413,17:06:54,226.411,236.184,246.09,4.856
20240412,20:50:39,231.738,243.234,257.482,6.509
20240413,17:28:03,229.644,239.262,250.536,6.023
20240413,19:33:44,240.579,330.055,556.595,71.399
20240413,19:37:54,232.878,321.922,446.509,62.102
20240412,20:33:49,234.092,371.174,555.458,102.382
20240412,20:14:36,226.227,351.418,542.356,102.632
20240412,19:42:46,230.684,240.013,258.096,6.329
20240412,22:21:11,236.638,316.315,392.155,50.84
20240412,19:32:09,221.743,229.669,246.138,7.249
20240412,21:28:26,232.549,242.889,265.234,7.725
20240413,19:07:52,236.357,248.56,261.281,7.109
20240413,18:29:03,247.887,385.04,539.48,93.963
20240412,22:16:56,235.585,309.728,385.053,44.238
20240412,20:38:00,224.214,357.365,552.165,113.46
20240412,19:33:31,225.702,359.356,533.769,107.699
20240412,19:07:46,224.01,341.851,535.463,100.635
20240412,21:32:32,240.0,251.211,265.503,7.645
20240413,18:46:39,233.075,241.466,257.687,5.525
20240413,17:59:47,229.704,238.984,262.895,6.766
20240412,22:37:53,239.133,350.49,530.439,107.76
20240412,22:25:25,232.509,251.402,398.558,34.423
20240413,19:12:07,235.465,245.643,270.707,7.807
20240413,17:19:37,226.762,235.956,246.128,4.692
20240413,19:50:21,238.712,319.176,426.87,51.829
20240413,18:20:35,229.865,239.813,250.52,4.403
20240413,17:55:38,229.691,320.981,544.027,85.2
20240413,18:12:21,248.525,332.349,397.824,48.354
20240412,19:49:50,221.033,235.78,275.515,13.873
20240413,17:44:13,230.975,240.016,254.829,6.354
20240412,20:06:02,226.668,234.192,244.661,5.298
20240413,17:15:37,230.809,241.877,250.555,5.618
20240412,19:03:34,227.549,237.714,251.828,4.97
20240412,20:46:22,264.029,278.226,312.008,11.956
20240412,22:12:49,237.697,252.761,269.396,10.05
20240412,20:26:54,220.311,339.847,514.991,101.026
20240412,18:59:02,228.704,308.646,382.005,49.956
20240413,18:59:20,247.045,301.302,328.079,22.742
20240413,18:08:11,230.371,241.195,262.442,6.858
