Date,Time,Min,Avg,Max,Mdev
20240413,19:33:33,200.099,279.418,378.018,53.059
20240413,18:28:52,215.972,228.298,239.09,6.547
20240412,21:36:26,205.966,218.978,231.75,6.189
20240413,17:11:20,198.541,212.374,227.736,8.231
20240413,18:59:09,228.203,277.135,322.55,29.508
20240413,17:31:55,195.072,207.662,229.23,9.796
20240413,18:41:52,218.695,232.358,247.537,5.967
20240413,17:19:26,193.796,203.636,220.925,6.97
20240412,20:37:49,202.207,225.005,245.011,9.042
20240413,17:55:27,212.311,293.74,386.041,53.128
20240413,19:16:46,223.273,264.427,479.787,61.696
20240413,19:37:44,226.192,294.837,371.448,49.081
20240413,17:15:26,200.551,213.574,232.035,8.029
20240412,19:33:20,202.567,221.142,259.556,11.831
20240413,17:27:52,196.968,207.804,221.069,7.931
20240413,18:03:51,217.485,227.634,248.934,8.578
20240413,17:23:47,207.522,231.695,253.541,12.615
20240413,18:24:37,225.548,244.895,263.126,9.228
20240413,18:20:24,198.638,208.022,222.898,7.669
20240412,20:33:38,199.516,219.188,234.149,9.165
20240412,20:05:51,191.144,204.959,232.426,11.107
20240413,18:50:35,200.027,216.983,228.59,8.064
20240413,19:50:10,214.333,289.183,366.911,49.51
20240413,18:33:09,225.606,245.114,389.329,34.115
20240412,20:10:25,189.706,201.119,264.184,15.109
20240413,18:12:09,221.684,309.585,440.17,55.624
20240412,19:31:58,193.108,216.044,338.192,42.179
20240412,19:34:42,199.379,218.871,247.35,9.545
20240413,19:41:54,220.926,308.94,544.742,71.473
20240412,22:16:45,214.395,262.449,365.478,41.697
20240413,17:06:42,194.055,214.478,404.89,44.253
20240412,22:08:09,227.508,236.376,256.896,8.49
20240413,18:08:00,198.218,210.671,227.644,9.815
20240412,22:12:38,212.975,222.507,237.011,6.707
20240412,22:21:00,212.886,285.302,360.921,44.858
20240413,19:25:23,224.38,234.674,278.907,11.137
20240412,20:54:34,207.875,423.696,2217.794,509.175
20240413,18:46:28,198.064,217.163,233.074,8.025
20240412,20:41:56,198.58,218.057,233.297,9.204
20240412,21:28:15,211.809,222.644,234.859,6.592
20240412,19:48:13,196.629,208.546,223.931,8.838
20240412,19:07:36,196.216,220.461,236.832,8.973
20240412,20:14:25,198.945,227.251,251.523,13.844
20240412,22:25:14,206.52,220.256,235.773,8.136
20240412,19:40:27,208.7,218.345,224.967,4.945
20240412,18:58:50,198.455,276.669,336.226,38.945
20240413,19:21:06,218.89,241.417,346.94,26.392
20240412,21:32:21,209.222,222.885,235.89,7.966
20240413,17:35:59,196.973,212.328,226.54,8.278
20240412,20:50:28,210.252,219.29,230.076,5.87
20240412,19:03:23,193.412,203.527,220.327,6.453
20240412,20:46:11,234.065,253.432,277.868,12.326
20240412,19:42:35,194.585,210.694,236.899,11.653
20240413,17:40:01,196.955,208.729,219.794,6.619
20240412,22:29:26,205.57,218.125,265.507,12.381
20240412,19:43:59,195.934,211.675,241.205,10.693
20240412,22:37:42,214.289,262.252,512.291,73.101
20240413,19:07:42,213.984,226.427,239.851,6.265
20240413,18:54:42,204.887,220.363,240.318,9.472
20240412,19:45:21,195.315,214.806,233.146,9.491
20240413,17:51:21,200.538,220.665,239.145,10.514
20240413,17:02:31,210.317,226.491,257.522,10.807
20240413,18:37:20,211.145,244.981,544.575,69.533
20240413,17:59:36,197.055,208.313,225.864,8.927
20240413,19:54:11,208.027,216.025,221.787,3.593
20240413,17:44:02,198.235,213.315,227.067,8.201
20240413,19:11:56,211.575,224.425,251.767,11.028
20240413,19:03:30,209.842,224.29,247.081,8.509
20240412,19:49:39,194.147,211.644,248.957,15.114
20240412,20:22:21,188.923,202.064,227.822,10.17
20240412,22:33:39,206.364,215.833,223.484,5.494
20240413,19:29:27,204.65,215.737,230.653,6.202
20240413,18:16:19,201.892,227.548,243.672,10.4
20240412,21:40:36,210.141,219.434,232.786,5.492
20240412,19:46:44,197.921,212.3,231.7,9.064
20240412,20:26:43,199.724,222.539,330.877,26.086
20240413,19:45:56,199.783,239.308,490.445,63.357
