Date,Time,Min,Avg,Max,Mdev
20240413,18:20:57,33.07,40.393,48.033,4.448
20240412,19:03:55,29.705,37.239,52.988,6.61
20240412,20:29:48,37.29,58.001,172.541,28.472
20240413,19:25:57,39.111,46.32,65.437,6.211
20240412,19:32:30,24.182,32.758,43.776,5.4
20240413,19:12:33,58.504,600.756,1718.92,564.644
20240412,20:06:24,36.137,75.932,123.702,30.847
20240413,18:12:43,38.546,57.665,127.397,24.02
20240412,21:41:09,44.626,59.434,98.204,13.511
20240413,18:16:52,31.175,72.067,370.148,69.69
20240413,18:59:42,39.448,59.772,153.401,32.198
20240412,22:08:42,44.955,64.081,87.571,9.722
20240413,17:51:53,44.925,58.604,76.17,8.108
20240413,19:42:27,35.81,100.603,190.518,48.732
20240412,22:13:11,50.335,56.17,76.231,5.743
20240413,19:30:00,39.423,48.14,62.764,6.395
20240412,19:50:17,26.016,34.472,56.954,7.512
20240413,19:08:14,45.898,58.687,71.907,6.222
20240413,18:08:33,32.229,45.701,69.442,9.865
20240413,17:03:04,31.638,48.111,75.717,10.393
20240413,18:33:42,56.071,76.124,265.154,43.758
20240412,18:59:23,18.696,32.18,40.109,4.239
20240412,19:08:08,29.937,47.858,58.969,8.308
20240413,17:19:58,30.551,44.192,68.436,9.229
20240412,21:36:59,42.762,53.047,70.783,7.184
20240412,19:41:00,42.116,55.929,78.65,8.958
20240413,18:37:52,59.324,67.786,80.758,5.703
20240413,17:36:33,32.146,42.538,62.078,8.051
20240412,21:32:53,41.697,51.059,62.045,5.741
20240413,18:00:10,30.387,44.112,70.624,11.022
20240412,20:51:01,41.857,48.522,55.52,3.879
20240412,22:21:33,46.65,127.231,363.732,70.343
20240413,18:04:24,47.412,59.261,71.035,6.467
20240412,20:22:53,23.028,34.715,40.761,4.27
20240412,20:42:29,35.728,60.484,116.215,21.285
20240413,19:50:43,41.621,97.929,742.601,152.155
20240413,18:51:08,48.117,62.97,87.968,11.209
20240412,22:34:11,37.695,49.88,73.447,8.909
20240413,18:55:15,45.761,68.412,88.141,10.634
20240412,22:38:14,53.695,66.911,79.787,5.578
20240412,19:33:53,37.788,50.395,64.948,6.986
20240413,19:17:19,44.788,53.947,66.689,6.665
20240412,19:48:47,27.196,37.964,49.929,6.927
20240412,22:17:17,50.56,106.512,221.778,50.114
20240412,20:10:58,24.217,49.657,154.003,25.939
20240412,20:38:21,34.737,50.647,69.703,8.846
20240412,19:47:17,32.258,44.021,56.016,6.733
20240413,17:28:25,32.665,38.377,48.077,3.931
20240413,19:21:39,57.492,74.024,96.208,8.436
20240413,18:42:26,41.542,60.417,84.872,9.738
20240412,19:43:07,29.622,40.179,50.888,6.769
20240413,17:15:58,38.205,46.308,62.609,6.349
20240412,20:14:58,29.347,51.616,129.187,19.356
20240413,17:44:35,34.072,42.759,55.938,5.808
20240412,20:34:10,35.223,49.3,60.486,6.72
20240412,19:45:54,33.682,48.247,91.198,13.026
20240412,21:28:48,39.159,56.333,231.089,40.441
20240413,17:40:34,34.105,41.149,53.982,5.223
20240412,20:46:44,38.725,52.85,98.126,15.561
20240412,19:44:31,29.75,46.477,78.254,13.284
20240413,17:56:00,44.165,54.711,69.543,6.071
20240413,17:11:53,34.093,41.803,53.127,5.627
20240413,18:25:09,69.316,77.202,92.564,6.29
20240413,18:47:01,40.068,49.48,55.953,4.598
20240413,18:29:25,50.059,60.164,78.544,7.543
20240412,22:25:47,37.944,47.379,60.317,6.072
20240413,17:32:28,34.07,40.811,50.104,4.452
20240413,19:54:44,46.054,52.191,61.829,4.137
20240413,19:46:29,38.049,54.543,71.006,7.33
20240413,17:24:20,37.536,47.176,60.664,4.977
20240413,17:07:15,30.581,40.27,70.657,8.489
20240413,19:34:06,46.184,133.78,618.091,122.721
20240413,19:38:19,43.583,58.502,133.531,18.804
20240412,20:55:11,41.671,50.25,62.236,4.261
20240413,19:04:03,52.427,61.168,68.923,3.982
20240412,22:29:59,37.311,50.747,74.572,10.258
